Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-11 12:13,1,Fortnite,37030,176406,8680
2018-10-11 12:13,2,League of Legends,24024,122076,2372
2018-10-11 12:13,3,Call of Duty: Black Ops 4,66897,119593,425
2018-10-11 12:13,4,Dota 2,32887,90313,812
2018-10-11 12:13,5,Just Chatting,0,85001,656
2018-10-11 12:13,6,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,70534,1648
2018-10-11 12:13,7,Hearthstone,42033,70302,282
2018-10-11 12:13,8,FIFA 19,68608,49485,582
2018-10-11 12:13,9,World of Warcraft,19783,40065,1138
2018-10-11 12:13,10,Casino,0,30167,55
2018-10-11 12:13,11,Assassin's Creed Odyssey,68771,29445,599
2018-10-11 12:13,12,Overwatch,48190,28890,1310
2018-10-11 12:13,13,Counter-Strike: Global Offensive,36113,22059,1192
2018-10-11 12:13,14,Grand Theft Auto V,36765,21864,429
2018-10-11 12:13,15,Dead by Daylight,52693,20852,660
2018-10-11 12:13,16,NBA 2K19,68872,19333,226
2018-10-11 12:13,17,Talk Shows & Podcasts,0,16493,133
2018-10-11 12:13,18,Green Hell,68570,16189,17
2018-10-11 12:13,19,For Honor,49967,15196,70
2018-10-11 12:13,20,Pathfinder: Kingmaker,60263,12995,40
2018-10-11 12:13,21,CrossCode,52463,12258,16
2018-10-11 12:13,22,Magic: The Gathering,68425,11632,160
2018-10-11 12:13,23,Destiny 2,52647,10747,623
2018-10-11 12:13,24,Battlerite Royale,69841,9886,146
2018-10-11 12:13,25,Escape From Tarkov,53106,9522,157
