Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-08 17:19,1,Fortnite,37030,271933,15258
2018-10-08 17:19,2,League of Legends,24024,129959,2811
2018-10-08 17:19,3,World of Warcraft,19783,64307,1940
2018-10-08 17:19,4,Dota 2,32887,59396,724
2018-10-08 17:19,5,Just Chatting,0,57611,648
2018-10-08 17:19,6,Counter-Strike: Global Offensive,36113,48472,1379
2018-10-08 17:19,7,FIFA 19,68608,47688,861
2018-10-08 17:19,8,Tom Clancy's Rainbow Six: Siege,46562,37908,1320
2018-10-08 17:19,9,Grand Theft Auto V,36765,37262,710
2018-10-08 17:19,10,Assassin's Creed Odyssey,68771,36593,915
2018-10-08 17:19,11,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,35856,1688
2018-10-08 17:19,12,Dead by Daylight,52693,31051,833
2018-10-08 17:19,13,The Binding of Isaac: Afterbirth,0,26281,33
2018-10-08 17:19,14,Overwatch,48190,25088,1634
2018-10-08 17:19,15,Art,0,24239,366
2018-10-08 17:19,16,Hearthstone,42033,24145,249
2018-10-08 17:19,17,Casino,0,21344,75
2018-10-08 17:19,18,Magic: The Gathering,68425,18308,259
2018-10-08 17:19,19,Destiny 2,52647,14579,1161
2018-10-08 17:19,20,Old School RuneScape,45837,11737,170
2018-10-08 17:19,21,Heroes of the Storm,36739,10842,226
2018-10-08 17:19,22,Warcraft III: The Frozen Throne,14073,9222,41
2018-10-08 17:19,23,Path of Exile,32562,8979,202
2018-10-08 17:19,24,Ring Of Elysium,67377,8038,428
2018-10-08 17:19,25,Poker,0,7298,107
