Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-08 08:19,1,League of Legends,24024,80160,1585
2018-10-08 08:19,2,Fortnite,37030,78581,4406
2018-10-08 08:19,3,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,61990,1372
2018-10-08 08:19,4,Just Chatting,0,45515,466
2018-10-08 08:19,5,Dota 2,32887,35198,603
2018-10-08 08:19,6,Counter-Strike: Global Offensive,36113,34946,631
2018-10-08 08:19,7,Hearthstone,42033,33068,215
2018-10-08 08:19,8,Screencheat,47190,25002,1
2018-10-08 08:19,9,World of Warcraft,19783,24022,690
2018-10-08 08:19,10,FIFA 19,68608,21629,342
2018-10-08 08:19,11,Assassin's Creed Odyssey,68771,19786,551
2018-10-08 08:19,12,Casino,0,19722,49
2018-10-08 08:19,13,Overwatch,48190,19422,782
2018-10-08 08:19,14,Dead by Daylight,52693,18841,421
2018-10-08 08:19,15,S.T.A.L.K.E.R.: Shadow of Chernobyl,11725,14823,14
2018-10-08 08:19,16,Heroes of the Storm,36739,12935,154
2018-10-08 08:19,17,Magic: The Gathering,68425,10940,149
2018-10-08 08:19,18,Destiny 2,52647,8555,445
2018-10-08 08:19,19,Path of Exile,32562,7245,167
2018-10-08 08:19,20,Battlerite Royale,69841,6811,93
2018-10-08 08:19,21,Grand Theft Auto V,36765,6640,229
2018-10-08 08:19,22,Pathfinder: Kingmaker,60263,6055,37
2018-10-08 08:19,23,Minecraft,30475,5250,247
2018-10-08 08:19,24,Talk Shows & Podcasts,0,5231,79
2018-10-08 08:19,25,Dragalia Lost,68261,4827,18
