Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-09 03:19,1,Fortnite,37030,113165,4709
2018-10-09 03:19,2,League of Legends,24024,67572,1418
2018-10-09 03:19,3,Just Chatting,0,30277,398
2018-10-09 03:19,4,Hearthstone,42033,29913,147
2018-10-09 03:19,5,Overwatch,48190,23343,826
2018-10-09 03:19,6,Casino,0,21907,35
2018-10-09 03:19,7,World of Warcraft,19783,21097,633
2018-10-09 03:19,8,Assassin's Creed Odyssey,68771,20133,410
2018-10-09 03:19,9,Dota 2,32887,18946,358
2018-10-09 03:19,10,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,16859,922
2018-10-09 03:19,11,Counter-Strike: Global Offensive,36113,16522,497
2018-10-09 03:19,12,Music & Performing Arts,29887,10961,211
2018-10-09 03:19,13,Grand Theft Auto V,36765,9730,223
2018-10-09 03:19,14,Dead by Daylight,52693,9542,457
2018-10-09 03:19,15,Old School RuneScape,45837,9268,81
2018-10-09 03:19,16,NBA 2K19,68872,9097,262
2018-10-09 03:19,17,Tom Clancy's Rainbow Six: Siege,46562,8567,598
2018-10-09 03:19,18,Destiny 2,52647,8453,598
2018-10-09 03:19,19,Soulcalibur,12411,8350,1
2018-10-09 03:19,20,Magic: The Gathering,68425,7783,122
2018-10-09 03:19,21,Always On,0,7585,18
2018-10-09 03:19,22,FIFA 19,68608,7244,181
2018-10-09 03:19,23,Perception,52444,6230,1
2018-10-09 03:19,24,Kartrider,0,5698,5
2018-10-09 03:19,25,Dead Space,33999,5018,18
