Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-06 03:19,1,League of Legends,24024,323907,1527
2018-10-06 03:19,2,Fortnite,37030,102133,8270
2018-10-06 03:19,3,Just Chatting,0,39868,465
2018-10-06 03:19,4,Hearthstone,42033,38778,170
2018-10-06 03:19,5,World of Warcraft,19783,28518,813
2018-10-06 03:19,6,Dota 2,32887,22533,418
2018-10-06 03:19,7,Assassin's Creed Odyssey,68771,21957,550
2018-10-06 03:19,8,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,21948,1189
2018-10-06 03:19,9,Overwatch,48190,16917,1090
2018-10-06 03:19,10,Dead by Daylight,52693,14753,572
2018-10-06 03:19,11,StarCraft,13062,14293,19
2018-10-06 03:19,12,Counter-Strike: Global Offensive,36113,11676,582
2018-10-06 03:19,13,Grand Theft Auto V,36765,11584,261
2018-10-06 03:19,14,Destiny 2,52647,8969,850
2018-10-06 03:19,15,Super Mario Party,68947,8854,101
2018-10-06 03:19,16,Dragon Ball FighterZ,59862,8839,48
2018-10-06 03:19,17,Magic: The Gathering,68425,8398,142
2018-10-06 03:19,18,FIFA 19,68608,8371,235
2018-10-06 03:19,19,Battlerite Royale,69841,8253,88
2018-10-06 03:19,20,Minecraft,30475,8237,252
2018-10-06 03:19,21,Tom Clancy's Rainbow Six: Siege,46562,7800,838
2018-10-06 03:19,22,Music & Performing Arts,29887,6952,229
2018-10-06 03:19,23,NBA 2K19,68872,5504,378
2018-10-06 03:19,24,Dark and Light,9285,4952,9
2018-10-06 03:19,25,Always On,0,4682,19
