Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-08 23:19,1,Fortnite,37030,246524,11702
2018-10-08 23:19,2,League of Legends,24024,103860,2404
2018-10-08 23:19,3,Just Chatting,0,54590,521
2018-10-08 23:19,4,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,45717,1323
2018-10-08 23:19,5,World of Warcraft,19783,37116,1469
2018-10-08 23:19,6,Counter-Strike: Global Offensive,36113,26901,827
2018-10-08 23:19,7,Overwatch,48190,25594,1651
2018-10-08 23:19,8,Hearthstone,42033,25551,181
2018-10-08 23:19,9,Rocket League,34407,23765,419
2018-10-08 23:19,10,Casino,0,21440,29
2018-10-08 23:19,11,Assassin's Creed Odyssey,68771,18954,613
2018-10-08 23:19,12,Dota 2,32887,18051,401
2018-10-08 23:19,13,Dead by Daylight,52693,16571,816
2018-10-08 23:19,14,Destiny 2,52647,15861,1338
2018-10-08 23:19,15,Always On,0,15652,19
2018-10-08 23:19,16,Tom Clancy's Rainbow Six: Siege,46562,15531,1200
2018-10-08 23:19,17,Ring Of Elysium,67377,15292,645
2018-10-08 23:19,18,Grand Theft Auto V,36765,13518,374
2018-10-08 23:19,19,Old School RuneScape,45837,13123,178
2018-10-08 23:19,20,Music & Performing Arts,29887,13056,256
2018-10-08 23:19,21,NBA 2K19,68872,12372,613
2018-10-08 23:19,22,Talk Shows & Podcasts,0,11202,110
2018-10-08 23:19,23,Dead End Road,58911,10352,2
2018-10-08 23:19,24,Magic: The Gathering,68425,9180,246
2018-10-08 23:19,25,The Elder Scrolls Online,38206,8591,104
