Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-06 21:19,1,Fortnite,37030,181778,16148
2018-10-06 21:19,2,League of Legends,24024,87706,2429
2018-10-06 21:19,3,Assassin's Creed Odyssey,68771,81261,763
2018-10-06 21:19,4,World of Warcraft,19783,42859,1406
2018-10-06 21:19,5,Just Chatting,0,29999,575
2018-10-06 21:19,6,Dota 2,32887,27730,496
2018-10-06 21:19,7,Overwatch,48190,26560,1599
2018-10-06 21:19,8,Casino,0,25703,44
2018-10-06 21:19,9,Rocket League,34407,24813,405
2018-10-06 21:19,10,FIFA 19,68608,23148,476
2018-10-06 21:19,11,Super Smash Bros. Melee,17743,22590,37
2018-10-06 21:19,12,Tekken 7,47011,20954,67
2018-10-06 21:19,13,Hearthstone,42033,19493,175
2018-10-06 21:19,14,Grand Theft Auto V,36765,19485,539
2018-10-06 21:19,15,Destiny 2,52647,16714,1379
2018-10-06 21:19,16,EA Sports UFC 3,63209,15813,62
2018-10-06 21:19,17,Counter-Strike: Global Offensive,36113,14165,1025
2018-10-06 21:19,18,Dead by Daylight,52693,13351,803
2018-10-06 21:19,19,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,11945,1332
2018-10-06 21:19,20,Battlerite Royale,69841,9754,101
2018-10-06 21:19,21,Tom Clancy's Rainbow Six: Siege,46562,9475,1424
2018-10-06 21:19,22,ARK,49642,7342,202
2018-10-06 21:19,23,Marble It Up!,70374,7100,8
2018-10-06 21:19,24,StarCraft II,0,6763,76
2018-10-06 21:19,25,Magic: The Gathering,68425,6689,192
