Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-06 18:19,1,Fortnite,37030,194690,16956
2018-10-06 18:19,2,League of Legends,24024,141354,2954
2018-10-06 18:19,3,Assassin's Creed Odyssey,68771,81325,990
2018-10-06 18:19,4,Rocket League,34407,67782,478
2018-10-06 18:19,5,World of Warcraft,19783,55569,1518
2018-10-06 18:19,6,FIFA 19,68608,50977,902
2018-10-06 18:19,7,Just Chatting,0,45225,730
2018-10-06 18:19,8,Dota 2,32887,41820,738
2018-10-06 18:19,9,Counter-Strike: Global Offensive,36113,31448,1701
2018-10-06 18:19,10,Grand Theft Auto V,36765,30348,741
2018-10-06 18:19,11,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,27867,1790
2018-10-06 18:19,12,Overwatch,48190,27168,1634
2018-10-06 18:19,13,Casino,0,26907,64
2018-10-06 18:19,14,Hearthstone,42033,26338,225
2018-10-06 18:19,15,Tekken 7,47011,19913,73
2018-10-06 18:19,16,Magic: The Gathering,68425,19480,225
2018-10-06 18:19,17,Dead by Daylight,52693,17769,862
2018-10-06 18:19,18,Heroes of the Storm,36739,17659,237
2018-10-06 18:19,19,Super Smash Bros. Melee,17743,17559,39
2018-10-06 18:19,20,Madden NFL 19,68607,14044,239
2018-10-06 18:19,21,Destiny 2,52647,13009,1396
2018-10-06 18:19,22,Tom Clancy's Rainbow Six: Siege,46562,10484,1559
2018-10-06 18:19,23,Super Mario Party,68947,10425,105
2018-10-06 18:19,24,Two Point Hospital,65427,8618,15
2018-10-06 18:19,25,StarCraft II,0,8533,108
