Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-05 17:19,1,Fortnite,37030,405749,15692
2018-10-05 17:19,2,League of Legends,24024,105575,2979
2018-10-05 17:19,3,World of Warcraft,19783,85949,1610
2018-10-05 17:19,4,Assassin's Creed Odyssey,68771,79362,1219
2018-10-05 17:19,5,FIFA 19,68608,52111,1119
2018-10-05 17:19,6,Just Chatting,0,51737,707
2018-10-05 17:19,7,Counter-Strike: Global Offensive,36113,45760,1747
2018-10-05 17:19,8,Dota 2,32887,33290,820
2018-10-05 17:19,9,Overwatch,48190,32977,1623
2018-10-05 17:19,10,Super Mario Party,68947,32053,202
2018-10-05 17:19,11,Grand Theft Auto V,36765,31607,811
2018-10-05 17:19,12,Euro Truck Simulator 2,40197,27549,158
2018-10-05 17:19,13,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,25527,1926
2018-10-05 17:19,14,Hearthstone,42033,22983,228
2018-10-05 17:19,15,Deliver Us The Moon,52325,21636,4
2018-10-05 17:19,16,Ring Of Elysium,67377,19493,425
2018-10-05 17:19,17,The Legend of Zelda: Ocarina of Time,12572,19037,34
2018-10-05 17:19,18,Magic: The Gathering,68425,17605,220
2018-10-05 17:19,19,Rocket League,34407,16433,493
2018-10-05 17:19,20,The Conjuring House,56807,15204,50
2018-10-05 17:19,21,Dead by Daylight,52693,14774,899
2018-10-05 17:19,22,Super Smash Bros. Melee,17743,12567,22
2018-10-05 17:19,23,Casino,0,11969,71
2018-10-05 17:19,24,Destiny 2,52647,11397,1349
2018-10-05 17:19,25,Tom Clancy's Rainbow Six: Siege,46562,10316,1454
