Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-10 18:19,1,Fortnite,37030,200900,13980
2018-10-10 18:19,2,League of Legends,24024,133484,2488
2018-10-10 18:19,3,Counter-Strike: Global Offensive,36113,72154,1193
2018-10-10 18:19,4,Dota 2,32887,54257,600
2018-10-10 18:19,5,World of Warcraft,19783,47192,1383
2018-10-10 18:19,6,FIFA 19,68608,47179,641
2018-10-10 18:19,7,Just Chatting,0,38593,592
2018-10-10 18:19,8,Grand Theft Auto V,36765,35277,540
2018-10-10 18:19,9,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,32531,1373
2018-10-10 18:19,10,Warcraft III: The Frozen Throne,14073,28472,42
2018-10-10 18:19,11,Assassin's Creed Odyssey,68771,27206,644
2018-10-10 18:19,12,Hearthstone,42033,25845,237
2018-10-10 18:19,13,Overwatch,48190,25801,1595
2018-10-10 18:19,14,Casino,0,23998,65
2018-10-10 18:19,15,Golf It!,58340,19618,7
2018-10-10 18:19,16,Tom Clancy's Rainbow Six: Siege,46562,19535,1137
2018-10-10 18:19,17,Always On,0,19381,18
2018-10-10 18:19,18,Magic: The Gathering,68425,17565,220
2018-10-10 18:19,19,Star Citizen,40011,16861,69
2018-10-10 18:19,20,Destiny 2,52647,14396,1053
2018-10-10 18:19,21,Dead by Daylight,52693,10840,695
2018-10-10 18:19,22,MapleStory 2,48529,10640,716
2018-10-10 18:19,23,Old School RuneScape,45837,9266,166
2018-10-10 18:19,24,StarCraft II,0,8579,95
2018-10-10 18:19,25,Dark Souls III,49884,8146,83
