Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-05 05:19,1,Fortnite,37030,60794,4040
2018-10-05 05:19,2,League of Legends,24024,59721,1260
2018-10-05 05:19,3,Dota 2,32887,44077,462
2018-10-05 05:19,4,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,36878,897
2018-10-05 05:19,5,Hearthstone,42033,29958,158
2018-10-05 05:19,6,Assassin's Creed Odyssey,68771,27100,364
2018-10-05 05:19,7,World of Warcraft,19783,25558,562
2018-10-05 05:19,8,StarCraft,13062,18956,25
2018-10-05 05:19,9,Casino,0,17125,40
2018-10-05 05:19,10,FIFA 19,68608,12858,412
2018-10-05 05:19,11,Just Chatting,0,11313,310
2018-10-05 05:19,12,Music & Performing Arts,29887,10695,200
2018-10-05 05:19,13,Dead by Daylight,52693,10606,365
2018-10-05 05:19,14,Overwatch,48190,9981,605
2018-10-05 05:19,15,Counter-Strike: Global Offensive,36113,9319,504
2018-10-05 05:19,16,Battlerite Royale,69841,8543,85
2018-10-05 05:19,17,Magic: The Gathering,68425,8484,110
2018-10-05 05:19,18,Quake Champions,54210,8147,23
2018-10-05 05:19,19,Super Mario Party,68947,8133,54
2018-10-05 05:19,20,Always On,0,7408,19
2018-10-05 05:19,21,Grand Theft Auto V,36765,7336,202
2018-10-05 05:19,22,MapleStory 2,48529,7323,80
2018-10-05 05:19,23,Destiny 2,52647,6071,438
2018-10-05 05:19,24,Path of Exile,32562,5905,151
2018-10-05 05:19,25,WWE 2K19,68978,5453,90
