Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-06 22:19,1,Fortnite,37030,195808,15782
2018-10-06 22:19,2,Assassin's Creed Odyssey,68771,83088,708
2018-10-06 22:19,3,League of Legends,24024,69314,2360
2018-10-06 22:19,4,Just Chatting,0,44572,610
2018-10-06 22:19,5,World of Warcraft,19783,38540,1409
2018-10-06 22:19,6,Overwatch,48190,31079,1595
2018-10-06 22:19,7,Hearthstone,42033,24871,146
2018-10-06 22:19,8,Rocket League,34407,24515,355
2018-10-06 22:19,9,Casino,0,24175,39
2018-10-06 22:19,10,Destiny 2,52647,17266,1434
2018-10-06 22:19,11,FIFA 19,68608,17133,368
2018-10-06 22:19,12,Counter-Strike: Global Offensive,36113,16109,985
2018-10-06 22:19,13,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,16089,1315
2018-10-06 22:19,14,EA Sports UFC 3,63209,15959,60
2018-10-06 22:19,15,Grand Theft Auto V,36765,15352,487
2018-10-06 22:19,16,Dead by Daylight,52693,14702,834
2018-10-06 22:19,17,Dota 2,32887,14576,466
2018-10-06 22:19,18,Tom Clancy's Rainbow Six: Siege,46562,10348,1407
2018-10-06 22:19,19,Magic: The Gathering,68425,7169,198
2018-10-06 22:19,20,Music & Performing Arts,29887,7159,282
2018-10-06 22:19,21,StarCraft II,0,6839,102
2018-10-06 22:19,22,Battlerite Royale,69841,6678,79
2018-10-06 22:19,23,Art,0,6503,273
2018-10-06 22:19,24,Minecraft,30475,6094,453
2018-10-06 22:19,25,Street Fighter V,48320,5771,44
