Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-11 06:19,1,League of Legends,24024,359909,1045
2018-10-11 06:19,2,Fortnite,37030,82660,3396
2018-10-11 06:19,3,Dota 2,32887,36724,481
2018-10-11 06:19,4,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,30850,913
2018-10-11 06:19,5,Just Chatting,0,29288,419
2018-10-11 06:19,6,World of Warcraft,19783,26236,657
2018-10-11 06:19,7,Hearthstone,42033,21037,169
2018-10-11 06:19,8,Casino,0,18765,41
2018-10-11 06:19,9,Counter-Strike: Global Offensive,36113,16620,516
2018-10-11 06:19,10,Magic: The Gathering,68425,15726,120
2018-10-11 06:19,11,Overwatch,48190,14936,686
2018-10-11 06:19,12,Dead by Daylight,52693,14652,362
2018-10-11 06:19,13,FIFA 19,68608,9828,268
2018-10-11 06:19,14,Call of Duty: Black Ops 4,66897,9525,158
2018-10-11 06:19,15,Assassin's Creed Odyssey,68771,9393,305
2018-10-11 06:19,16,Always On,0,9055,18
2018-10-11 06:19,17,Battlerite Royale,69841,8456,67
2018-10-11 06:19,18,Old School RuneScape,45837,8436,69
2018-10-11 06:19,19,Talk Shows & Podcasts,0,6663,77
2018-10-11 06:19,20,Destiny 2,52647,6316,392
2018-10-11 06:19,21,Music & Performing Arts,29887,5821,192
2018-10-11 06:19,22,Games + Demos,38690,5172,30
2018-10-11 06:19,23,StarCraft II,0,5076,59
2018-10-11 06:19,24,Tom Clancy's Rainbow Six: Siege,46562,4786,422
2018-10-11 06:19,25,Ring Of Elysium,67377,4263,138
