Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-10 15:19,1,Fortnite,37030,300960,11830
2018-10-10 15:19,2,League of Legends,24024,165315,2875
2018-10-10 15:19,3,Dota 2,32887,91728,929
2018-10-10 15:19,4,Just Chatting,0,83522,708
2018-10-10 15:19,5,Counter-Strike: Global Offensive,36113,67209,1685
2018-10-10 15:19,6,World of Warcraft,19783,62979,3395
2018-10-10 15:19,7,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,57856,1930
2018-10-10 15:19,8,Overwatch,48190,49029,1945
2018-10-10 15:19,9,FIFA 19,68608,45974,809
2018-10-10 15:19,10,Grand Theft Auto V,36765,45310,681
2018-10-10 15:19,11,Casino,0,45055,70
2018-10-10 15:19,12,Star Citizen,40011,42965,104
2018-10-10 15:19,13,Assassin's Creed Odyssey,68771,29658,802
2018-10-10 15:19,14,Hearthstone,42033,26929,283
2018-10-10 15:19,15,Talk Shows & Podcasts,0,25257,163
2018-10-10 15:19,16,Magic: The Gathering,68425,23055,223
2018-10-10 15:19,17,Always On,0,17375,18
2018-10-10 15:19,18,Warcraft III: The Frozen Throne,14073,15746,57
2018-10-10 15:19,19,Euro Truck Simulator 2,40197,15481,175
2018-10-10 15:19,20,Dead by Daylight,52693,14830,800
2018-10-10 15:19,21,Destiny 2,52647,14242,1059
2018-10-10 15:19,22,Tom Clancy's Rainbow Six: Siege,46562,13582,1236
2018-10-10 15:19,23,MapleStory 2,48529,12677,686
2018-10-10 15:19,24,NBA 2K19,68872,11336,354
2018-10-10 15:19,25,Welcome to the Game II,61971,10549,3
