Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-11 01:19,1,Fortnite,37030,148282,7904
2018-10-11 01:19,2,League of Legends,24024,76791,1899
2018-10-11 01:19,3,Counter-Strike: Global Offensive,36113,44192,580
2018-10-11 01:19,4,Just Chatting,0,40378,501
2018-10-11 01:19,5,Hearthstone,42033,29964,156
2018-10-11 01:19,6,World of Warcraft,19783,29725,1083
2018-10-11 01:19,7,Overwatch,48190,25841,1424
2018-10-11 01:19,8,Dota 2,32887,17592,322
2018-10-11 01:19,9,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,16605,984
2018-10-11 01:19,10,Dead by Daylight,52693,15421,608
2018-10-11 01:19,11,Tom Clancy's Rainbow Six: Siege,46562,13022,827
2018-10-11 01:19,12,Magic: The Gathering,68425,11391,170
2018-10-11 01:19,13,Music & Performing Arts,29887,10681,206
2018-10-11 01:19,14,Grand Theft Auto V,36765,10077,266
2018-10-11 01:19,15,Destiny 2,52647,9950,905
2018-10-11 01:19,16,Assassin's Creed Odyssey,68771,9943,403
2018-10-11 01:19,17,MapleStory 2,48529,9400,635
2018-10-11 01:19,18,Casino,0,8617,31
2018-10-11 01:19,19,Amnesia: The Dark Descent,30087,8590,18
2018-10-11 01:19,20,Old School RuneScape,45837,8546,140
2018-10-11 01:19,21,Minecraft,30475,8447,244
2018-10-11 01:19,22,Always On,0,7918,18
2018-10-11 01:19,23,The Elder Scrolls Online,38206,7217,80
2018-10-11 01:19,24,Dark and Light,9285,7180,26
2018-10-11 01:19,25,FIFA 19,68608,7078,227
