Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-10 10:19,1,League of Legends,24024,525265,1851
2018-10-10 10:19,2,Fortnite,37030,137130,6559
2018-10-10 10:19,3,Dota 2,32887,55906,709
2018-10-10 10:19,4,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,48948,1690
2018-10-10 10:19,5,Just Chatting,0,48397,606
2018-10-10 10:19,6,Counter-Strike: Global Offensive,36113,39454,881
2018-10-10 10:19,7,World of Warcraft,19783,33979,997
2018-10-10 10:19,8,Casino,0,32359,57
2018-10-10 10:19,9,Overwatch,48190,27816,1296
2018-10-10 10:19,10,Assassin's Creed Odyssey,68771,26766,578
2018-10-10 10:19,11,Hearthstone,42033,24252,281
2018-10-10 10:19,12,Dead by Daylight,52693,21747,571
2018-10-10 10:19,13,FIFA 19,68608,20764,469
2018-10-10 10:19,14,Escape From Tarkov,53106,17095,145
2018-10-10 10:19,15,Games + Demos,38690,15910,56
2018-10-10 10:19,16,Talk Shows & Podcasts,0,15534,128
2018-10-10 10:19,17,Old School RuneScape,45837,15090,108
2018-10-10 10:19,18,Minecraft,30475,13534,297
2018-10-10 10:19,19,The Conjuring House,56807,11633,23
2018-10-10 10:19,20,Destiny 2,52647,11291,572
2018-10-10 10:19,21,Magic: The Gathering,68425,11049,165
2018-10-10 10:19,22,Pathfinder: Kingmaker,60263,10744,31
2018-10-10 10:19,23,Tom Clancy's Rainbow Six: Siege,46562,10378,752
2018-10-10 10:19,24,Battlerite Royale,69841,9047,123
2018-10-10 10:19,25,Grand Theft Auto V,36765,8865,311
