Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-06 16:19,1,Fortnite,37030,197245,18994
2018-10-06 16:19,2,League of Legends,24024,160884,3087
2018-10-06 16:19,3,World of Warcraft,19783,79466,1804
2018-10-06 16:19,4,Assassin's Creed Odyssey,68771,77784,1142
2018-10-06 16:19,5,Dota 2,32887,75631,1005
2018-10-06 16:19,6,FIFA 19,68608,57144,989
2018-10-06 16:19,7,Rocket League,34407,55221,492
2018-10-06 16:19,8,Just Chatting,0,52291,753
2018-10-06 16:19,9,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,39141,2145
2018-10-06 16:19,10,Counter-Strike: Global Offensive,36113,36242,1945
2018-10-06 16:19,11,Grand Theft Auto V,36765,31402,861
2018-10-06 16:19,12,Hearthstone,42033,23477,240
2018-10-06 16:19,13,Barbie Horse Adventures: Riding Camp,28403,23095,5
2018-10-06 16:19,14,Overwatch,48190,22582,1801
2018-10-06 16:19,15,Casino,0,21821,63
2018-10-06 16:19,16,Magic: The Gathering,68425,21002,220
2018-10-06 16:19,17,Dead by Daylight,52693,18502,929
2018-10-06 16:19,18,Super Smash Bros. Melee,17743,16008,27
2018-10-06 16:19,19,Mega Man 11,63036,14128,91
2018-10-06 16:19,20,Heroes of the Storm,36739,13531,247
2018-10-06 16:19,21,Destiny 2,52647,13386,1393
2018-10-06 16:19,22,Minecraft,30475,12020,610
2018-10-06 16:19,23,Tom Clancy's Rainbow Six: Siege,46562,10887,1644
2018-10-06 16:19,24,Path of Exile,32562,10404,275
2018-10-06 16:19,25,The Witcher 3: Wild Hunt,41484,10397,128
