Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-07 10:19,1,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,127361,1978
2018-10-07 10:19,2,League of Legends,24024,110516,2408
2018-10-07 10:19,3,Fortnite,37030,107678,11013
2018-10-07 10:19,4,Dota 2,32887,65614,736
2018-10-07 10:19,5,Just Chatting,0,62146,639
2018-10-07 10:19,6,Assassin's Creed Odyssey,68771,56155,866
2018-10-07 10:19,7,Counter-Strike: Global Offensive,36113,44729,1283
2018-10-07 10:19,8,World of Warcraft,19783,40194,1193
2018-10-07 10:19,9,Hearthstone,42033,36079,233
2018-10-07 10:19,10,Dead by Daylight,52693,31429,637
2018-10-07 10:19,11,Overwatch,48190,31003,1194
2018-10-07 10:19,12,FIFA 19,68608,29729,680
2018-10-07 10:19,13,Super Mario Party,68947,17770,37
2018-10-07 10:19,14,Tom Clancy's Rainbow Six: Siege,46562,17475,1077
2018-10-07 10:19,15,Grand Theft Auto V,36765,17216,463
2018-10-07 10:19,16,Quake Champions,54210,17069,35
2018-10-07 10:19,17,Magic: The Gathering,68425,14392,144
2018-10-07 10:19,18,Visage,56806,13995,24
2018-10-07 10:19,19,NBA 2K19,68872,13487,230
2018-10-07 10:19,20,Pillars of Eternity II: Deadfire,57918,13107,6
2018-10-07 10:19,21,StarCraft II,0,12476,103
2018-10-07 10:19,22,Casino,0,11496,49
2018-10-07 10:19,23,Super Smash Bros. Melee,17743,10455,13
2018-10-07 10:19,24,Mega Man 11,63036,9418,69
2018-10-07 10:19,25,Destiny 2,52647,9133,724
