Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-08 02:19,1,Fortnite,37030,119739,6944
2018-10-08 02:19,2,League of Legends,24024,66795,1643
2018-10-08 02:19,3,Just Chatting,0,51926,405
2018-10-08 02:19,4,World of Warcraft,19783,27489,673
2018-10-08 02:19,5,Hearthstone,42033,27197,149
2018-10-08 02:19,6,Assassin's Creed Odyssey,68771,16537,460
2018-10-08 02:19,7,Dota 2,32887,16365,361
2018-10-08 02:19,8,Overwatch,48190,16248,1039
2018-10-08 02:19,9,Counter-Strike: Global Offensive,36113,15980,493
2018-10-08 02:19,10,Super Mario Party,68947,14690,55
2018-10-08 02:19,11,Tom Clancy's Rainbow Six: Siege,46562,14306,771
2018-10-08 02:19,12,Dead by Daylight,52693,13080,592
2018-10-08 02:19,13,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,12551,933
2018-10-08 02:19,14,Dragon Quest XI,47818,10244,39
2018-10-08 02:19,15,Music & Performing Arts,29887,10125,208
2018-10-08 02:19,16,Magic: The Gathering,68425,9996,137
2018-10-08 02:19,17,Minecraft,30475,8766,221
2018-10-08 02:19,18,Weird Dreams,2770,8500,1
2018-10-08 02:19,19,Destiny 2,52647,8474,836
2018-10-08 02:19,20,Casino,0,7133,29
2018-10-08 02:19,21,The Conjuring House,56807,6602,14
2018-10-08 02:19,22,Old School RuneScape,45837,5825,113
2018-10-08 02:19,23,Heroes of the Storm,36739,5737,138
2018-10-08 02:19,24,Mega Man 11,63036,5685,40
2018-10-08 02:19,25,NBA 2K19,68872,5631,395
