Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-11 03:19,1,Fortnite,37030,121822,4887
2018-10-11 03:19,2,League of Legends,24024,86363,1394
2018-10-11 03:19,3,World of Warcraft,19783,29727,634
2018-10-11 03:19,4,Just Chatting,0,25032,413
2018-10-11 03:19,5,Overwatch,48190,21647,904
2018-10-11 03:19,6,Counter-Strike: Global Offensive,36113,19669,399
2018-10-11 03:19,7,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,18686,765
2018-10-11 03:19,8,Magic: The Gathering,68425,18462,120
2018-10-11 03:19,9,Dota 2,32887,17356,343
2018-10-11 03:19,10,Hearthstone,42033,15439,145
2018-10-11 03:19,11,Music & Performing Arts,29887,11539,207
2018-10-11 03:19,12,Dead by Daylight,52693,11430,472
2018-10-11 03:19,13,Always On,0,9751,18
2018-10-11 03:19,14,Tom Clancy's Rainbow Six: Siege,46562,9349,551
2018-10-11 03:19,15,FIFA 19,68608,8847,252
2018-10-11 03:19,16,Casino,0,8845,27
2018-10-11 03:19,17,Assassin's Creed Odyssey,68771,8135,314
2018-10-11 03:19,18,Dark and Light,9285,6948,19
2018-10-11 03:19,19,Call of Duty: Black Ops 4,66897,6637,119
2018-10-11 03:19,20,Grand Theft Auto V,36765,6618,203
2018-10-11 03:19,21,StarCraft II,0,6509,58
2018-10-11 03:19,22,Destiny 2,52647,5784,588
2018-10-11 03:19,23,ASMR,0,5719,43
2018-10-11 03:19,24,Dead Space,33999,5662,10
2018-10-11 03:19,25,MapleStory 2,48529,5390,427
