Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-09 08:19,1,Fortnite,37030,97917,4009
2018-10-09 08:19,2,League of Legends,24024,90043,1630
2018-10-09 08:19,3,Just Chatting,0,60041,524
2018-10-09 08:19,4,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,47349,1432
2018-10-09 08:19,5,Counter-Strike: Global Offensive,36113,42791,695
2018-10-09 08:19,6,Hearthstone,42033,39593,213
2018-10-09 08:19,7,World of Warcraft,19783,28638,611
2018-10-09 08:19,8,Dota 2,32887,28326,593
2018-10-09 08:19,9,Rust,42984,22599,85
2018-10-09 08:19,10,Overwatch,48190,20149,780
2018-10-09 08:19,11,Assassin's Creed Odyssey,68771,19854,520
2018-10-09 08:19,12,FIFA 19,68608,18269,363
2018-10-09 08:19,13,Magic: The Gathering,68425,18025,154
2018-10-09 08:19,14,Dead by Daylight,52693,13604,472
2018-10-09 08:19,15,Talk Shows & Podcasts,0,13110,96
2018-10-09 08:19,16,Heroes of the Storm,36739,11808,188
2018-10-09 08:19,17,Pathfinder: Kingmaker,60263,10459,36
2018-10-09 08:19,18,Lineage II,9705,9190,94
2018-10-09 08:19,19,Casino,0,8920,48
2018-10-09 08:19,20,StarCraft II,0,7686,84
2018-10-09 08:19,21,Always On,0,7243,18
2018-10-09 08:19,22,Destiny 2,52647,6728,401
2018-10-09 08:19,23,Path of Exile,32562,6613,169
2018-10-09 08:19,24,Art,0,6198,218
2018-10-09 08:19,25,"Good Pizza, Great Pizza",70294,6044,3
