Timestamp,Game Title,Rank,Display Name,Viewers,Channel Followers,Total Channel Views
2018-10-06 12:19,Fortnite,1,Ninja,66097,11633134,335775381
2018-10-06 12:19,Fortnite,2,TimTheTatman,25551,2865212,103732773
2018-10-06 12:19,Fortnite,3,HighDistortion,6962,1083722,15404031
2018-10-06 12:19,Fortnite,4,SypherPK,6276,1541681,23726245
2018-10-06 12:19,Fortnite,5,Gotaga,4919,1204346,44006710
2018-10-06 12:19,Fortnite,6,LeBouseuh,3619,297680,2113720
2018-10-06 12:19,Fortnite,7,Symfuhny,2822,164972,3174258
2018-10-06 12:19,Fortnite,8,DrLupo,2705,2483999,38948323
2018-10-06 12:19,Fortnite,9,SolaryFortnite,2296,478467,23099176
2018-10-06 12:19,Fortnite,10,ixxYjYxxi,2232,172702,890975
2018-10-06 12:19,League of Legends,1,Riot Games,32963,3141015,1042569958
2018-10-06 12:19,League of Legends,2,YoDa,18175,1196529,115706115
2018-10-06 12:19,League of Legends,3,imaqtpie,11063,2415051,292981559
2018-10-06 12:19,League of Legends,4,IWillDominate,5198,549003,38001931
2018-10-06 12:19,League of Legends,5,SummonersInnLive,5155,413314,99388121
2018-10-06 12:19,League of Legends,6,Yassuo,5108,690294,17448756
2018-10-06 12:19,League of Legends,7,Solary,4643,231464,42593477
2018-10-06 12:19,League of Legends,8,RiotGamesBrazil,4420,565882,112863810
2018-10-06 12:19,League of Legends,9,ElmiilloR,3640,145441,13919635
2018-10-06 12:19,League of Legends,10,VaporaDark,3625,67840,75684161
2018-10-06 12:19,PLAYERUNKNOWN'S BATTLEGROUNDS,1,CigaretteSTV,4678,184617,12106330
2018-10-06 12:19,PLAYERUNKNOWN'S BATTLEGROUNDS,2,殺梗,3972,233109,52387999
2018-10-06 12:19,PLAYERUNKNOWN'S BATTLEGROUNDS,3,boyMinORu,3647,182339,11079859
2018-10-06 12:19,PLAYERUNKNOWN'S BATTLEGROUNDS,4,SPYGEA,3334,95972,10669593
2018-10-06 12:19,PLAYERUNKNOWN'S BATTLEGROUNDS,5,TSM_Viss,3222,450442,21140040
2018-10-06 12:19,PLAYERUNKNOWN'S BATTLEGROUNDS,6,오린이야,3019,67464,1365182
2018-10-06 12:19,PLAYERUNKNOWN'S BATTLEGROUNDS,7,Ko0416,2913,74642,12719136
2018-10-06 12:19,PLAYERUNKNOWN'S BATTLEGROUNDS,8,wasuezqelusia,2163,210747,7935218
2018-10-06 12:19,PLAYERUNKNOWN'S BATTLEGROUNDS,9,태준이,1861,158685,6047023
2018-10-06 12:19,PLAYERUNKNOWN'S BATTLEGROUNDS,10,Drainys,1667,141338,8570527
2018-10-06 12:19,Just Chatting,1,AdmiralBulldog,7407,528835,66926327
2018-10-06 12:19,Just Chatting,2,forsen,5535,939535,87916757
2018-10-06 12:19,Just Chatting,3,Xayoo_,5194,262372,17276948
2018-10-06 12:19,Just Chatting,4,JakenbakeLIVE,5191,181938,9180970
2018-10-06 12:19,Just Chatting,5,꽃핀,3932,81921,2180491
2018-10-06 12:19,Just Chatting,6,FEDMYSTER,3016,222631,5576443
2018-10-06 12:19,Just Chatting,7,allkeyshop_tv,2282,10681,13084768
2018-10-06 12:19,Just Chatting,8,에렌디라,958,226602,4867856
2018-10-06 12:19,Just Chatting,9,gnumme,876,259660,34583321
2018-10-06 12:19,Just Chatting,10,Kandyland,737,65726,2761692
2018-10-06 12:19,Counter-Strike: Global Offensive,1,uccleague2,11033,20764,2794257
2018-10-06 12:19,Counter-Strike: Global Offensive,2,uccstudio,10083,38998,6394810
2018-10-06 12:19,Counter-Strike: Global Offensive,3,LIRIK,9448,2261246,263885297
2018-10-06 12:19,Counter-Strike: Global Offensive,4,UCCleague,2538,115936,22226827
2018-10-06 12:19,Counter-Strike: Global Offensive,5,byalli,1729,159389,3832797
2018-10-06 12:19,Counter-Strike: Global Offensive,6,fluyr,1590,30245,391533
2018-10-06 12:19,Counter-Strike: Global Offensive,7,Rubsarb,1460,240026,6305266
2018-10-06 12:19,Counter-Strike: Global Offensive,8,yznb,1271,159871,17902202
2018-10-06 12:19,Counter-Strike: Global Offensive,9,Anomaly,1177,941544,21233910
2018-10-06 12:19,Counter-Strike: Global Offensive,10,CyrusTWO,804,56907,4153110
2018-10-06 12:19,Assassin's Creed Odyssey,1,fextralife,11734,6463,19160165
2018-10-06 12:19,Assassin's Creed Odyssey,2,餐餐自由配,7273,291848,58050734
2018-10-06 12:19,Assassin's Creed Odyssey,3,쉐리,5533,135465,12596501
2018-10-06 12:19,Assassin's Creed Odyssey,4,singsing,3690,479294,70690759
2018-10-06 12:19,Assassin's Creed Odyssey,5,웁_게임방송,2485,85564,7156376
2018-10-06 12:19,Assassin's Creed Odyssey,6,홍방장,1466,151529,10442988
2018-10-06 12:19,Assassin's Creed Odyssey,7,DansGaming,1316,732824,99796274
2018-10-06 12:19,Assassin's Creed Odyssey,8,SOLIDFPS,1306,34697,1173326
2018-10-06 12:19,Assassin's Creed Odyssey,9,Juice,980,42434,2986673
2018-10-06 12:19,Assassin's Creed Odyssey,10,蝦愛橘子,877,20830,2508316
2018-10-06 12:19,World of Warcraft,1,Reckful,16321,778982,100788817
2018-10-06 12:19,World of Warcraft,2,Drjayfisto,2480,54394,5463278
2018-10-06 12:19,World of Warcraft,3,TRILLEBARTOM,1879,58320,6300368
2018-10-06 12:19,World of Warcraft,4,Hydramist,1731,86143,13210922
2018-10-06 12:19,World of Warcraft,5,인간젤리,1357,57094,4800757
2018-10-06 12:19,World of Warcraft,6,Manyrin,1225,154242,15756919
2018-10-06 12:19,World of Warcraft,7,Sjeletyven1,1128,18908,1160439
2018-10-06 12:19,World of Warcraft,8,W_Lapin,1068,101577,13725710
2018-10-06 12:19,World of Warcraft,9,MusclebrahTV,995,44978,2934556
2018-10-06 12:19,World of Warcraft,10,무굴,958,18006,1655190
2018-10-06 12:19,FIFA 19,1,Castro_1021,10555,1478833,48712887
2018-10-06 12:19,FIFA 19,2,BruceGrannec,4691,292429,12406357
2018-10-06 12:19,FIFA 19,3,Nick28T,3401,813579,29779956
2018-10-06 12:19,FIFA 19,4,PSG_RocKy,2433,58403,583803
2018-10-06 12:19,FIFA 19,5,mo_aubameyang,2341,45555,599019
2018-10-06 12:19,FIFA 19,6,Canbroke_,1984,18483,51183
2018-10-06 12:19,FIFA 19,7,DieHahn,1699,164156,7592814
2018-10-06 12:19,FIFA 19,8,Yozhyk,1586,95721,5212418
2018-10-06 12:19,FIFA 19,9,SennadoBone,839,53198,1386587
2018-10-06 12:19,FIFA 19,10,GeoHunter,783,6257,55944
2018-10-06 12:19,Dota 2,1,dota2mc_ru,8979,120449,11113726
2018-10-06 12:19,Dota 2,2,Gorgc,4913,131720,8296293
2018-10-06 12:19,Dota 2,3,BeyondTheSummit,4092,709514,368020210
2018-10-06 12:19,Dota 2,4,lil,2374,103818,4996119
2018-10-06 12:19,Dota 2,5,Starladder1,2149,474749,384303433
2018-10-06 12:19,Dota 2,6,WagamamaTV,1763,251537,38885278
2018-10-06 12:19,Dota 2,7,XBOCT,1420,219949,10914025
