Timestamp,Game Title,Rank,Display Name,Viewers,Channel Followers,Total Channel Views
2018-10-11 00:19,Fortnite,1,NICKMERCS,58617,1748633,33604911
2018-10-11 00:19,Fortnite,2,Tfue,33744,3004751,41624449
2018-10-11 00:19,Fortnite,3,Aydan,4906,226855,1048563
2018-10-11 00:19,Fortnite,4,LosPollosTV,3518,248629,3917522
2018-10-11 00:19,Fortnite,5,RakanooLive,2528,361107,2935716
2018-10-11 00:19,Fortnite,6,Kayuun,2459,61124,739003
2018-10-11 00:19,Fortnite,7,Crayator,2369,199321,3786487
2018-10-11 00:19,Fortnite,8,barstoolsports,1889,30209,3364753
2018-10-11 00:19,Fortnite,9,Yelo,1118,286512,2845878
2018-10-11 00:19,Fortnite,10,SoyPan,1033,82214,704342
2018-10-11 00:19,League of Legends,1,loltyler1,16770,1892321,84622442
2018-10-11 00:19,League of Legends,2,Nightblue3,5954,2300693,199411860
2018-10-11 00:19,League of Legends,3,Voyboy,4013,1023775,115013328
2018-10-11 00:19,League of Legends,4,Scarra,3848,697091,67063989
2018-10-11 00:19,League of Legends,5,ookina,3568,100881,1790424
2018-10-11 00:19,League of Legends,6,mandiocaa1,3210,41825,960599
2018-10-11 00:19,League of Legends,7,大丸,2983,201110,25411529
2018-10-11 00:19,League of Legends,8,VaporaDark,2507,68061,76272615
2018-10-11 00:19,League of Legends,9,OgamingLoL,1704,345382,107882999
2018-10-11 00:19,League of Legends,10,daniels,1410,246686,9559964
2018-10-11 00:19,Counter-Strike: Global Offensive,1,shroud,25636,4506230,216510371
2018-10-11 00:19,Counter-Strike: Global Offensive,2,SkipNhO,5974,611051,32574308
2018-10-11 00:19,Counter-Strike: Global Offensive,3,gaules,4723,303552,15505501
2018-10-11 00:19,Counter-Strike: Global Offensive,4,brax,1960,261339,4409162
2018-10-11 00:19,Counter-Strike: Global Offensive,5,ESL_CSGO_TH,1776,3211,147024
2018-10-11 00:19,Counter-Strike: Global Offensive,6,goncho,1275,143138,3597849
2018-10-11 00:19,Counter-Strike: Global Offensive,7,zorlaKOKA,712,230165,12444929
