Timestamp,Game Title,Rank,Display Name,Viewers,Channel Followers,Total Channel Views
2018-10-05 07:19,Fortnite,1,dakotaz,22397,2714966,62400086
2018-10-05 07:19,Fortnite,2,KingRichard,5743,1106071,17719479
2018-10-05 07:19,Fortnite,3,SolaryFortnite,5376,476317,22936563
2018-10-05 07:19,Fortnite,4,Yelo,4712,280306,2780899
2018-10-05 07:19,Fortnite,5,Loeya,3186,332842,5864625
2018-10-05 07:19,Fortnite,6,Gotaga,2680,1202973,43890365
2018-10-05 07:19,Fortnite,7,ixxYjYxxi,1644,170735,877722
2018-10-05 07:19,Fortnite,8,Tanxlive,1595,137070,7831659
2018-10-05 07:19,Fortnite,9,Evelone192,1426,103540,4299759
2018-10-05 07:19,Fortnite,10,Naded,1024,79479,3811113
2018-10-05 07:19,League of Legends,1,Nightblue3,12632,2294079,199110538
2018-10-05 07:19,League of Legends,2,IWillDominate,4750,548586,37924472
2018-10-05 07:19,League of Legends,3,TrackingThePros,3219,92249,6059824
2018-10-05 07:19,League of Legends,4,TFBlade,2832,216261,8706592
2018-10-05 07:19,League of Legends,5,hashinshin,2662,284377,13884102
2018-10-05 07:19,League of Legends,6,西門夜說,2628,230961,22957058
2018-10-05 07:19,League of Legends,7,Solary,2149,231010,42439032
2018-10-05 07:19,League of Legends,8,피닉스박1,1996,22146,955089
2018-10-05 07:19,League of Legends,9,VaporaDark,1982,67800,75519346
2018-10-05 07:19,League of Legends,10,OgamingLoL,1644,342637,107072104
2018-10-05 07:19,Dota 2,1,PVPEsports,13184,3263,98161
2018-10-05 07:19,Dota 2,2,uccstudio,10457,37571,6062748
2018-10-05 07:19,Dota 2,3,dota2mc_ru,8136,119788,10868990
2018-10-05 07:19,Dota 2,4,MineskiTV_TH,3739,39900,1739249
2018-10-05 07:19,Dota 2,5,VeRsuta,2738,446659,104011914
2018-10-05 07:19,Dota 2,6,BeyondTheSummit,2673,709331,367898839
2018-10-05 07:19,Dota 2,7,qSnake,2032,120384,13845349
2018-10-05 07:19,Dota 2,8,WagamamaTV,1344,251529,38869243
2018-10-05 07:19,Dota 2,9,win0001,892,3790,200037
2018-10-05 07:19,Dota 2,10,MineskiTV,554,93679,26630417
2018-10-05 07:19,PLAYERUNKNOWN'S BATTLEGROUNDS,1,탬탬버린,5511,213417,8035572
2018-10-05 07:19,PLAYERUNKNOWN'S BATTLEGROUNDS,2,CigaretteSTV,3807,182715,11987799
2018-10-05 07:19,PLAYERUNKNOWN'S BATTLEGROUNDS,3,Ko0416,3153,74512,12653784
2018-10-05 07:19,PLAYERUNKNOWN'S BATTLEGROUNDS,4,P4wnyhof,3130,442081,40188679
2018-10-05 07:19,PLAYERUNKNOWN'S BATTLEGROUNDS,5,SPYGEA,3113,95864,10646664
2018-10-05 07:19,PLAYERUNKNOWN'S BATTLEGROUNDS,6,殺梗,2620,232997,52325533
2018-10-05 07:19,PLAYERUNKNOWN'S BATTLEGROUNDS,7,마뫄,2187,64997,1132494
2018-10-05 07:19,PLAYERUNKNOWN'S BATTLEGROUNDS,8,Drainys,1358,141031,8526954
2018-10-05 07:19,PLAYERUNKNOWN'S BATTLEGROUNDS,9,Lanvirion,1191,25171,1210996
2018-10-05 07:19,PLAYERUNKNOWN'S BATTLEGROUNDS,10,OfficialAndyPyro,1145,175933,12383884
2018-10-05 07:19,Hearthstone,1,ThijsHS,9920,566921,53505690
2018-10-05 07:19,Hearthstone,2,HearthstonezhTW,5400,60047,7230568
2018-10-05 07:19,Hearthstone,3,PlayHearthstone,3569,686674,107731052
2018-10-05 07:19,Hearthstone,4,침착맨,3364,217254,10014948
2018-10-05 07:19,Hearthstone,5,uzra,3319,126039,31184088
2018-10-05 07:19,Hearthstone,6,Firebat,2066,249092,10590329
2018-10-05 07:19,Hearthstone,7,마스카,2043,105235,12130819
2018-10-05 07:19,Hearthstone,8,TaeRss,1849,74807,8841354
2018-10-05 07:19,Hearthstone,9,Starladder_HS_ru,1458,131679,19853964
2018-10-05 07:19,Hearthstone,10,armatvhs,1429,162999,37506137
2018-10-05 07:19,World of Warcraft,1,xaryulol,3491,168295,13340481
2018-10-05 07:19,World of Warcraft,2,xDlate,3215,23067,840010
2018-10-05 07:19,World of Warcraft,3,Towelliee,2104,654080,119926064
2018-10-05 07:19,World of Warcraft,4,MusclebrahTV,1776,44656,2913192
2018-10-05 07:19,World of Warcraft,5,chinglishtv,1329,157171,16295083
2018-10-05 07:19,World of Warcraft,6,Fragnance,1311,123444,23405478
2018-10-05 07:19,World of Warcraft,7,PsheroTV,1172,122810,15903637
2018-10-05 07:19,World of Warcraft,8,krakantas,1013,46093,2450512
2018-10-05 07:19,World of Warcraft,9,Naguura,975,132046,12554811
2018-10-05 07:19,World of Warcraft,10,Minpojke,834,58803,5856694
2018-10-05 07:19,FIFA 19,1,얍얍,8613,194203,26239587
2018-10-05 07:19,FIFA 19,2,Bigbangs06,3241,222063,6822473
2018-10-05 07:19,FIFA 19,3,salz0r_tv,2207,48954,1392073
2018-10-05 07:19,FIFA 19,4,DieHahn,1336,163905,7572936
2018-10-05 07:19,FIFA 19,5,BuckArmy,1211,100085,1576599
2018-10-05 07:19,FIFA 19,6,Justees,980,16801,275961
2018-10-05 07:19,FIFA 19,7,CapgunTom,910,241480,3331008
2018-10-05 07:19,FIFA 19,8,swimy,698,36714,135987
2018-10-05 07:19,FIFA 19,9,rombik,631,59227,1717342
2018-10-05 07:19,FIFA 19,10,FamousLP91,480,50253,1808672
2018-10-05 07:19,Just Chatting,1,선바,2905,90789,2107323
2018-10-05 07:19,Just Chatting,2,소니쇼,2620,135028,10813444
2018-10-05 07:19,Just Chatting,3,연두는말안드뤄,1679,134360,10272320
2018-10-05 07:19,Just Chatting,4,NymN,1214,51428,1714158
2018-10-05 07:19,Just Chatting,5,nacrutkahmm,1144,10,1639
2018-10-05 07:19,Just Chatting,6,Insize,882,16077,904161
2018-10-05 07:19,Just Chatting,7,xcudi,871,20952,1532324
2018-10-05 07:19,Just Chatting,8,kyo1984123,811,99608,26474518
2018-10-05 07:19,Just Chatting,9,gnumme,754,259633,34558011
2018-10-05 07:19,Just Chatting,10,LetsTaddl,693,111286,809543
2018-10-05 07:19,Casino,1,lgamblersl,7782,22,4416
2018-10-05 07:19,Casino,2,High_Roll,2851,302,24033
2018-10-05 07:19,Casino,3,john_casino2,2807,13,1342
2018-10-05 07:19,Casino,4,lowbrat,2027,1544,51071
2018-10-05 07:19,Casino,5,publst,1643,296,12868
2018-10-05 07:19,Casino,6,vitussbr1tva_cazin0,1449,71,1740
2018-10-05 07:19,Casino,7,slotplayerr,973,327,16386
2018-10-05 07:19,Casino,8,CasinoDaddy,949,62884,6458923
2018-10-05 07:19,Casino,9,iborna,638,349,18292
2018-10-05 07:19,Casino,10,CasinoRISK,577,1096,12908
2018-10-05 07:19,Assassin's Creed Odyssey,1,쉐리,4942,135078,12524541
2018-10-05 07:19,Assassin's Creed Odyssey,2,Shortyyguy,2988,383881,14077977
2018-10-05 07:19,Assassin's Creed Odyssey,3,Anthony_Kongphan,1607,402530,17549980
2018-10-05 07:19,Assassin's Creed Odyssey,4,개복어,1001,108993,6941691
2018-10-05 07:19,Assassin's Creed Odyssey,5,蝦愛橘子,558,20748,2492000
2018-10-05 07:19,Assassin's Creed Odyssey,6,KTVSKY,449,49763,3283982
2018-10-05 07:19,Assassin's Creed Odyssey,7,SOLIDFPS,431,34439,1151949
2018-10-05 07:19,Assassin's Creed Odyssey,8,畢格波斯,360,14572,2595767
2018-10-05 07:19,Assassin's Creed Odyssey,9,UrQueeen,329,94376,6543624
2018-10-05 07:19,Assassin's Creed Odyssey,10,Acemodai,305,32611,1033947
2018-10-05 07:19,StarCraft,1,똘똘똘이_,8527,83446,8771081
2018-10-05 07:19,StarCraft,2,소풍왔니,7503,162435,12661070
2018-10-05 07:19,StarCraft,3,초승달,2412,142770,12984829
2018-10-05 07:19,StarCraft,4,깝도이,76,12174,155283
2018-10-05 07:19,StarCraft,5,인피쉰,32,595,5366
2018-10-05 07:19,StarCraft,6,MedryBW,14,23486,958628
2018-10-05 07:19,StarCraft,7,_원이,10,309,8790
2018-10-05 07:19,StarCraft,8,연쥐,8,114,2702
2018-10-05 07:19,StarCraft,9,SSCAIT,6,25002,782318
2018-10-05 07:19,StarCraft,10,arterranbadman,5,22,1348
2018-10-05 07:19,Overwatch,1,kragiee,1869,96872,2365895
2018-10-05 07:19,Overwatch,2,학살_,1565,123719,1501009
2018-10-05 07:19,Overwatch,3,m0xyy,908,56943,813371
2018-10-05 07:19,Overwatch,4,Vibrantow,856,644,17181
