Timestamp,Game Title,Rank,Display Name,Viewers,Channel Followers,Total Channel Views
2018-10-09 05:19,Fortnite,1,Tfue,36592,2986283,41279600
2018-10-09 05:19,Fortnite,2,dakotaz,11782,2735430,62736267
2018-10-09 05:19,Fortnite,3,LosPollosTV,3025,248203,3909694
2018-10-09 05:19,Fortnite,4,Loeya,1957,345614,6116010
2018-10-09 05:19,Fortnite,5,AdzTV,1746,133593,1424392
2018-10-09 05:19,Fortnite,6,嬌兔,1641,95256,14904884
2018-10-09 05:19,Fortnite,7,Cardboard_Cowboy,1524,12079,318984
2018-10-09 05:19,Fortnite,8,Tanxlive,1517,137883,7885190
2018-10-09 05:19,Fortnite,9,SolaryFortnite,1241,482295,23322327
2018-10-09 05:19,Fortnite,10,Harmii,866,76494,811962
2018-10-09 05:19,League of Legends,1,Nightblue3,11210,2299488,199259714
2018-10-09 05:19,League of Legends,2,소풍왔니,5723,164066,12907263
2018-10-09 05:19,League of Legends,3,西門夜說,4324,233044,23107657
2018-10-09 05:19,League of Legends,4,Gosu,3336,1445950,104759340
2018-10-09 05:19,League of Legends,5,TobiasFate,2977,598538,27318214
2018-10-09 05:19,League of Legends,6,IWillDominate,2336,550005,38170523
2018-10-09 05:19,League of Legends,7,Solary,2312,231976,42839974
2018-10-09 05:19,League of Legends,8,TrackingThePros,2253,94128,6240201
2018-10-09 05:19,League of Legends,9,mandiocaa1,1824,40140,916715
2018-10-09 05:19,League of Legends,10,VaporaDark,1700,67994,76030583
2018-10-09 05:19,Just Chatting,1,가그,10183,85607,2781857
2018-10-09 05:19,Just Chatting,2,JakenbakeLIVE,7032,184529,9276440
2018-10-09 05:19,Just Chatting,3,얍얍,2712,195438,26609321
2018-10-09 05:19,Just Chatting,4,allkeyshop_tv,1645,10974,13412904
2018-10-09 05:19,Just Chatting,5,강지,1527,75245,1755363
2018-10-09 05:19,Just Chatting,6,Mylixia,1227,39476,3944949
2018-10-09 05:19,Just Chatting,7,김뚜띠_,1180,27271,594556
2018-10-09 05:19,Just Chatting,8,天菜娘娘,1119,121865,5771818
2018-10-09 05:19,Just Chatting,9,OficialJoe,962,1120,10286
2018-10-09 05:19,Just Chatting,10,theRealShooKon3,778,55243,3068464
2018-10-09 05:19,Dota 2,1,AdmiralBulldog,8009,529815,67095358
2018-10-09 05:19,Dota 2,2,VeRsuta,2694,446991,104073071
2018-10-09 05:19,Dota 2,3,BeyondTheSummit,2540,710324,368380589
2018-10-09 05:19,Dota 2,4,qSnake,2511,120796,13957232
