Timestamp,Game Title,Rank,Display Name,Viewers,Channel Followers,Total Channel Views
2018-10-08 04:19,Fortnite,1,Tfue,43522,2966851,40862486
2018-10-08 04:19,Fortnite,2,dakotaz,11382,2721929,62556358
2018-10-08 04:19,Fortnite,3,TSM_Myth,5543,4371652,60463680
2018-10-08 04:19,Fortnite,4,CDNThe3rd,3953,1655640,31155897
2018-10-08 04:19,Fortnite,5,LosPollosTV,2829,247860,3901033
2018-10-08 04:19,Fortnite,6,Loeya,1586,342745,6062639
2018-10-08 04:19,Fortnite,7,DavidChau,1035,47576,336236
2018-10-08 04:19,Fortnite,8,Draineo,879,13392,28696
2018-10-08 04:19,Fortnite,9,RazZzero0o,708,123462,2728795
2018-10-08 04:19,Fortnite,10,NokSs68,696,128472,3574070
2018-10-08 04:19,League of Legends,1,Voyboy,9890,1019553,114893309
2018-10-08 04:19,League of Legends,2,西門夜說,4581,232536,23064914
2018-10-08 04:19,League of Legends,3,소풍왔니,4045,163694,12841828
2018-10-08 04:19,League of Legends,4,tarzaned,3597,137778,4106449
2018-10-08 04:19,League of Legends,5,Gosu,2853,1445471,104733508
2018-10-08 04:19,League of Legends,6,TrackingThePros,2455,93475,6179546
2018-10-08 04:19,League of Legends,7,IWillDominate,2235,549466,38079926
2018-10-08 04:19,League of Legends,8,피유,2218,134020,6935968
2018-10-08 04:19,League of Legends,9,Solary,1925,231792,42741838
2018-10-08 04:19,League of Legends,10,VaporaDark,1714,67987,75920551
2018-10-08 04:19,Just Chatting,1,JakenbakeLIVE,5858,183119,9218090
2018-10-08 04:19,Just Chatting,2,하느르,3052,65930,2275708
2018-10-08 04:19,Just Chatting,3,mumusiraneitor,2636,136029,1883677
2018-10-08 04:19,Just Chatting,4,Felps,1626,479040,7097361
2018-10-08 04:19,Just Chatting,5,쌍베,1352,35133,2197078
2018-10-08 04:19,Just Chatting,6,allkeyshop_tv,955,10891,13290059
2018-10-08 04:19,Just Chatting,7,쉐리,837,135665,12629163
2018-10-08 04:19,Just Chatting,8,숑아,555,55050,1294810
2018-10-08 04:19,Just Chatting,9,gnumme,491,259623,34608511
2018-10-08 04:19,Just Chatting,10,DrFaith,412,18795,312475
2018-10-08 04:19,World of Warcraft,1,Warcraft,4184,458211,50577531
2018-10-08 04:19,World of Warcraft,2,notmes,2718,63145,3590586
2018-10-08 04:19,World of Warcraft,3,jdotb,2471,56344,6526773
2018-10-08 04:19,World of Warcraft,4,Swifty,1337,477812,42205149
2018-10-08 04:19,World of Warcraft,5,Fred,1231,15239,1089275
2018-10-08 04:19,World of Warcraft,6,Preachlfw,1142,127186,6911492
2018-10-08 04:19,World of Warcraft,7,shakibdh,1053,38279,2102787
2018-10-08 04:19,World of Warcraft,8,Maldiva ,862,110917,9393333
2018-10-08 04:19,World of Warcraft,9,krakantas,824,46162,2462725
2018-10-08 04:19,World of Warcraft,10,PsheroTV,551,123153,15934662
2018-10-08 04:19,Assassin's Creed Odyssey,1,fextralife,6369,7173,19689282
2018-10-08 04:19,Assassin's Creed Odyssey,2,MYM_ALKAPONE,2543,521349,30473300
2018-10-08 04:19,Assassin's Creed Odyssey,3,Anthony_Kongphan,2053,402843,17607419
2018-10-08 04:19,Assassin's Creed Odyssey,4,嬌兔,1569,95181,14865052
2018-10-08 04:19,Assassin's Creed Odyssey,5,TheNo1Alex,946,86362,5823137
2018-10-08 04:19,Assassin's Creed Odyssey,6,AvaGG,829,346368,11159174
2018-10-08 04:19,Assassin's Creed Odyssey,7,Lanvirion,658,25259,1221572
2018-10-08 04:19,Assassin's Creed Odyssey,8,Matimi0,595,308462,5081634
2018-10-08 04:19,Assassin's Creed Odyssey,9,KatGunn,560,225156,7185068
2018-10-08 04:19,Assassin's Creed Odyssey,10,Mylixia,545,39333,3934150
2018-10-08 04:19,Counter-Strike: Global Offensive,1,Starladder_CS_en,8590,448596,60814948
2018-10-08 04:19,Counter-Strike: Global Offensive,2,Starladder5,5971,842166,165561350
2018-10-08 04:19,Counter-Strike: Global Offensive,3,gaules,2385,300668,15293719
2018-10-08 04:19,Counter-Strike: Global Offensive,4,JASONR,2137,510776,22134195
2018-10-08 04:19,Counter-Strike: Global Offensive,5,PTERODACTYLSFTW,749,160063,6417927
2018-10-08 04:19,Counter-Strike: Global Offensive,6,BiDa,511,344171,17955273
2018-10-08 04:19,Counter-Strike: Global Offensive,7,s0mcs,399,82348,2024394
2018-10-08 04:19,Counter-Strike: Global Offensive,8,WiLLzin__,303,938,21500
2018-10-08 04:19,Counter-Strike: Global Offensive,9,ustepuka,260,4166,104331
2018-10-08 04:19,Counter-Strike: Global Offensive,10,Mrtweeday,244,470636,13954414
2018-10-08 04:19,Hearthstone,1,Firebat,4832,249172,10599041
2018-10-08 04:19,Hearthstone,2,김도,4388,226723,14724556
2018-10-08 04:19,Hearthstone,3,마스카,3038,105553,12201845
2018-10-08 04:19,Hearthstone,4,kyo1984123,2500,99725,26596915
2018-10-08 04:19,Hearthstone,5,ThijsHS,1880,567725,53673117
2018-10-08 04:19,Hearthstone,6,armatvhs,799,163143,37594097
2018-10-08 04:19,Hearthstone,7,kamikpro,413,25417,1569186
2018-10-08 04:19,Hearthstone,8,DeerNadia,385,217444,10241644
2018-10-08 04:19,Hearthstone,9,mackenseize,360,39170,2172643
2018-10-08 04:19,Hearthstone,10,Eposlol,296,19415,590632
2018-10-08 04:19,PLAYERUNKNOWN'S BATTLEGROUNDS,1,P4wnyhof,2905,442680,40246364
2018-10-08 04:19,PLAYERUNKNOWN'S BATTLEGROUNDS,2,Ko0416,2490,74835,12792563
2018-10-08 04:19,PLAYERUNKNOWN'S BATTLEGROUNDS,3,도쨩,1204,2296,349915
2018-10-08 04:19,PLAYERUNKNOWN'S BATTLEGROUNDS,4,FPSThailand,886,182351,14935633
2018-10-08 04:19,PLAYERUNKNOWN'S BATTLEGROUNDS,5,OfficialAndyPyro,825,176877,12498911
2018-10-08 04:19,PLAYERUNKNOWN'S BATTLEGROUNDS,6,KTVSKY,676,50188,3321682
2018-10-08 04:19,PLAYERUNKNOWN'S BATTLEGROUNDS,7,itzz_chrizz,675,20242,602126
2018-10-08 04:19,PLAYERUNKNOWN'S BATTLEGROUNDS,8,미라클티비,675,77518,2148294
2018-10-08 04:19,PLAYERUNKNOWN'S BATTLEGROUNDS,9,NeoticaCH,653,54886,2134798
2018-10-08 04:19,PLAYERUNKNOWN'S BATTLEGROUNDS,10,Jinny_Pinkunotori,525,19963,188460
2018-10-08 04:19,Dota 2,1,BeyondTheSummit,3789,709863,368208509
2018-10-08 04:19,Dota 2,2,VeRsuta,2807,446881,104054237
2018-10-08 04:19,Dota 2,3,KVYZEE,2450,18400,2871683
2018-10-08 04:19,Dota 2,4,WagamamaTV,1366,251596,38903331
2018-10-08 04:19,Dota 2,5,dota2mc_ru,1005,122538,11647210
2018-10-08 04:19,Dota 2,6,masondota2,765,7741,121552
2018-10-08 04:19,Dota 2,7,BotanicX,759,11769,548832
2018-10-08 04:19,Dota 2,8,EEGDOTA,702,49438,2157159
2018-10-08 04:19,Dota 2,9,BananaSlamJamma,692,117637,8541521
2018-10-08 04:19,Dota 2,10,Sunlight,636,16004,750711
2018-10-08 04:19,Super Mario Party,1,Maximilian_DOOD,10950,559388,33095564
2018-10-08 04:19,Super Mario Party,2,CrReaM,891,145283,12705270
2018-10-08 04:19,Super Mario Party,3,P4ntz,329,28641,3196835
2018-10-08 04:19,Super Mario Party,4,Hero_iRL,53,19844,247673
2018-10-08 04:19,Super Mario Party,5,겜브링,50,5072,20469
2018-10-08 04:19,Super Mario Party,6,Dareyck,47,102275,1935158
2018-10-08 04:19,Super Mario Party,7,咬肉,26,188,30609
2018-10-08 04:19,Super Mario Party,8,BigFitchy,16,1660,39724
2018-10-08 04:19,Super Mario Party,9,GeoffLife,15,3862,100809
2018-10-08 04:19,Super Mario Party,10,Brialdo,15,96,3560
2018-10-08 04:19,Overwatch,1,harbleu,3141,177934,4612542
2018-10-08 04:19,Overwatch,2,agilities,1315,79936,1043686
2018-10-08 04:19,Overwatch,3,게구리,1067,90868,1279125
2018-10-08 04:19,Overwatch,4,iddqd,863,284467,7577943
2018-10-08 04:19,Overwatch,5,KabajiOW,501,147449,3494794
2018-10-08 04:19,Overwatch,6,space,415,30074,334355
2018-10-08 04:19,Overwatch,7,Corey,340,1968,27768
2018-10-08 04:19,Overwatch,8,Duxativa,185,155086,8445434
2018-10-08 04:19,Overwatch,9,후입니다,167,12482,456063
2018-10-08 04:19,Overwatch,10,g4ssei,148,2903,289639
2018-10-08 04:19,Tom Clancy's Rainbow Six: Siege,1,just9n,4235,252550,4898689
2018-10-08 04:19,Tom Clancy's Rainbow Six: Siege,2,KingGeorgeTV,3216,318702,6749756
