Timestamp,Game Title,Rank,Display Name,Viewers,Channel Followers,Total Channel Views
2018-10-06 15:19,Fortnite,1,Ninja,74612,11638646,336119645
2018-10-06 15:19,Fortnite,2,DrLupo,9489,2486996,38984843
2018-10-06 15:19,Fortnite,3,LOLITOFDEZ,9326,1325038,24324510
2018-10-06 15:19,Fortnite,4,phonecats,8908,251391,6325018
2018-10-06 15:19,Fortnite,5,Mickalow,5258,361466,4466028
2018-10-06 15:19,Fortnite,6,Cizzorz,4382,1005983,9759908
2018-10-06 15:19,Fortnite,7,SolaryFortnite,4065,478786,23117182
2018-10-06 15:19,Fortnite,8,Symfuhny,3836,167337,3193577
2018-10-06 15:19,Fortnite,9,NateHill,3242,182797,1299611
2018-10-06 15:19,Fortnite,10,mckyTV,2436,223746,4105114
2018-10-06 15:19,League of Legends,1,Riot Games,44005,3141630,1042776437
2018-10-06 15:19,League of Legends,2,YoDa,16602,1196944,115767280
2018-10-06 15:19,League of Legends,3,imaqtpie,11400,2415351,293028991
2018-10-06 15:19,League of Legends,4,Xayoo_,6512,262595,17304576
2018-10-06 15:19,League of Legends,5,Yassuo,6109,690890,17481697
2018-10-06 15:19,League of Legends,6,RiotGamesBrazil,6039,566004,112938806
2018-10-06 15:19,League of Legends,7,NoWay4u_Sir,5799,179765,19518051
2018-10-06 15:19,League of Legends,8,Solary,5085,231503,42609963
2018-10-06 15:19,League of Legends,9,亞洲統神,4413,453274,176996230
2018-10-06 15:19,League of Legends,10,VaporaDark,4254,67843,75709558
2018-10-06 15:19,World of Warcraft,1,Warcraft,28246,454086,49446856
2018-10-06 15:19,World of Warcraft,2,Reckful,18964,779503,100845029
2018-10-06 15:19,World of Warcraft,3,Drjayfisto,2508,54476,5478749
2018-10-06 15:19,World of Warcraft,4,bushido,1988,119215,558679
2018-10-06 15:19,World of Warcraft,5,W_Lapin,1575,101599,13731832
2018-10-06 15:19,World of Warcraft,6,Hydramist,1565,86216,13217593
2018-10-06 15:19,World of Warcraft,7,WarcraftRU,1439,9728,2735419
2018-10-06 15:19,World of Warcraft,8,Nuts,1182,62447,810097
2018-10-06 15:19,World of Warcraft,9,무굴,1085,18029,1656845
2018-10-06 15:19,World of Warcraft,10,WarcraftDE,1013,9161,1532075
2018-10-06 15:19,Just Chatting,1,AtheneLIVE,6188,212332,34328178
2018-10-06 15:19,Just Chatting,2,SNAILKICKtm,6118,304671,7889488
2018-10-06 15:19,Just Chatting,3,JesusAVGN,5713,379976,15887993
2018-10-06 15:19,Just Chatting,4,JakenbakeLIVE,5441,182202,9196316
2018-10-06 15:19,Just Chatting,5,Elwind,3656,252913,4773253
2018-10-06 15:19,Just Chatting,6,殺梗,2773,233167,52409193
2018-10-06 15:19,Just Chatting,7,에렌디라,2506,226776,4877141
2018-10-06 15:19,Just Chatting,8,allkeyshop_tv,2275,10702,13106708
2018-10-06 15:19,Just Chatting,9,uebermarginal,1911,32862,1215945
2018-10-06 15:19,Just Chatting,10,turgutuc,1881,17558,327107
2018-10-06 15:19,Assassin's Creed Odyssey,1,풍월량,9121,312227,38797118
2018-10-06 15:19,Assassin's Creed Odyssey,2,FhaeLin,7081,48658,1748734
2018-10-06 15:19,Assassin's Creed Odyssey,3,AdmiralBahroo,7005,553614,33824346
2018-10-06 15:19,Assassin's Creed Odyssey,4,DansGaming,5047,732876,99807851
2018-10-06 15:19,Assassin's Creed Odyssey,5,서새봄냥,4903,304730,25440537
2018-10-06 15:19,Assassin's Creed Odyssey,6,쉐리,4270,135534,12604349
2018-10-06 15:19,Assassin's Creed Odyssey,7,singsing,3341,479317,70698576
2018-10-06 15:19,Assassin's Creed Odyssey,8,Divi,1982,26780,2069673
2018-10-06 15:19,Assassin's Creed Odyssey,9,홍방장,1446,151573,10447250
2018-10-06 15:19,Assassin's Creed Odyssey,10,dmbrandon,1169,141972,14475102
2018-10-06 15:19,Dota 2,1,XBOCT,15270,220671,10948098
2018-10-06 15:19,Dota 2,2,dota2mc_ru,12153,120734,11192511
2018-10-06 15:19,Dota 2,3,Gorgc,9168,131898,8317996
2018-10-06 15:19,Dota 2,4,Stray228,8691,367994,34064792
2018-10-06 15:19,Dota 2,5,BeyondTheSummit,2664,709529,368037036
2018-10-06 15:19,Dota 2,6,Starladder1,1679,474809,384325951
2018-10-06 15:19,Dota 2,7,Hoolygan_NZRV,895,11,1055
2018-10-06 15:19,Dota 2,8,MeepoHa3ap,889,77145,1794434
2018-10-06 15:19,Dota 2,9,lil,829,103891,5004945
2018-10-06 15:19,Dota 2,10,Quill18,799,160240,5913724
2018-10-06 15:19,FIFA 19,1,Castro_1021,13219,1479584,48741749
2018-10-06 15:19,FIFA 19,2,한동숙,7388,151932,12860832
2018-10-06 15:19,FIFA 19,3,Nick28T,6058,813710,29791333
2018-10-06 15:19,FIFA 19,4,PSG_RocKy,3103,58793,591468
2018-10-06 15:19,FIFA 19,5,mo_aubameyang,2831,45942,605095
2018-10-06 15:19,FIFA 19,6,LPMassive,2644,277786,7963383
2018-10-06 15:19,FIFA 19,7,Canbroke_,2475,19864,57868
2018-10-06 15:19,FIFA 19,8,FifaTargrean,1664,253774,10501298
2018-10-06 15:19,FIFA 19,9,VivaLaFazza,1379,55807,1266268
2018-10-06 15:19,FIFA 19,10,brak2K,1367,39149,684775
2018-10-06 15:19,Rocket League,1,RocketLeague,40936,785853,58955825
2018-10-06 15:19,Rocket League,2,Athena,455,114256,1392888
2018-10-06 15:19,Rocket League,3,LJoga,278,54983,703525
2018-10-06 15:19,Rocket League,4,Jaaarmo,89,2671,41084
2018-10-06 15:19,Rocket League,5,PlutoRL,79,13756,141344
2018-10-06 15:19,Rocket League,6,kosiTV,61,4868,50476
