Timestamp,Game Title,Rank,Display Name,Viewers,Channel Followers,Total Channel Views
2018-10-11 01:19,Fortnite,1,NICKMERCS,48902,1749896,33643774
2018-10-11 01:19,Fortnite,2,Tfue,36922,3005984,41685276
2018-10-11 01:19,Fortnite,3,LosPollosTV,5432,248836,3920927
2018-10-11 01:19,Fortnite,4,Aydan,4622,227467,1053761
2018-10-11 01:19,Fortnite,5,Frankkaster,4205,358203,9435232
2018-10-11 01:19,Fortnite,6,RakanooLive,1906,361146,2936504
2018-10-11 01:19,Fortnite,7,Kayuun,1779,61270,742194
2018-10-11 01:19,Fortnite,8,barstoolsports,1601,30373,3367673
2018-10-11 01:19,Fortnite,9,Yelo,1183,286624,2847144
2018-10-11 01:19,Fortnite,10,nalley360,999,4873,14752
2018-10-11 01:19,League of Legends,1,loltyler1,17781,1892584,84642327
2018-10-11 01:19,League of Legends,2,Nightblue3,5989,2300762,199419778
2018-10-11 01:19,League of Legends,3,Scarra,4774,697171,67070453
2018-10-11 01:19,League of Legends,4,Voyboy,4322,1023815,115017116
2018-10-11 01:19,League of Legends,5,大丸,3422,201129,25417157
2018-10-11 01:19,League of Legends,6,ookina,3262,101001,1794036
2018-10-11 01:19,League of Legends,7,mandiocaa1,2764,41902,963326
2018-10-11 01:19,League of Legends,8,VaporaDark,2195,68061,76276842
2018-10-11 01:19,League of Legends,9,OgamingLoL,1680,345457,107884439
2018-10-11 01:19,League of Legends,10,daniels,1402,246753,9563626
2018-10-11 01:19,Counter-Strike: Global Offensive,1,shroud,21306,4506715,216545005
2018-10-11 01:19,Counter-Strike: Global Offensive,2,summit1g,7572,3299226,243242458
2018-10-11 01:19,Counter-Strike: Global Offensive,3,gaules,4153,303593,15509907
2018-10-11 01:19,Counter-Strike: Global Offensive,4,brax,1741,261470,4412625
2018-10-11 01:19,Counter-Strike: Global Offensive,5,ESL_CSGO_TH,1544,3258,151464
2018-10-11 01:19,Counter-Strike: Global Offensive,6,JASONR,1207,515241,22231772
2018-10-11 01:19,Counter-Strike: Global Offensive,7,goncho,911,143169,3599500
2018-10-11 01:19,Counter-Strike: Global Offensive,8,zorlaKOKA,581,230177,12447386
2018-10-11 01:19,Counter-Strike: Global Offensive,9,PTERODACTYLSFTW,531,160537,6435116
2018-10-11 01:19,Counter-Strike: Global Offensive,10,FPSThailand,467,183548,15040749
2018-10-11 01:19,Just Chatting,1,SkipNhO,5687,611126,32582968
2018-10-11 01:19,Just Chatting,2,ElFedelobo,3657,258367,3791824
2018-10-11 01:19,Just Chatting,3,소풍왔니,3537,164698,13011142
2018-10-11 01:19,Just Chatting,4,우정잉,2402,87160,3843657
2018-10-11 01:19,Just Chatting,5,Giantwaffle,2162,800949,46232007
2018-10-11 01:19,Just Chatting,6,woops,1445,86821,2254010
2018-10-11 01:19,Just Chatting,7,DizzyKitten,1156,526009,16085151
2018-10-11 01:19,Just Chatting,8,_푸딩_,1114,71704,5148899
2018-10-11 01:19,Just Chatting,9,CJayride,1043,54407,3592220
2018-10-11 01:19,Just Chatting,10,강지,862,76909,1772351
2018-10-11 01:19,Hearthstone,1,nl_Kripp,11420,1188217,203397297
2018-10-11 01:19,Hearthstone,2,플러리,4179,86767,6549764
2018-10-11 01:19,Hearthstone,3,AsmodaiTV,3987,173729,15504587
2018-10-11 01:19,Hearthstone,4,kyo1984123,3409,99850,26680231
2018-10-11 01:19,Hearthstone,5,스틸로,1421,76801,3781651
2018-10-11 01:19,Hearthstone,6,armatvhs,734,163295,37700192
2018-10-11 01:19,Hearthstone,7,deathstav_3,630,6861,192785
2018-10-11 01:19,Hearthstone,8,NaviOOT,625,54401,3571343
2018-10-11 01:19,Hearthstone,9,DeerNadia,434,217505,10252360
2018-10-11 01:19,Hearthstone,10,無口君,433,47253,5391444
2018-10-11 01:19,World of Warcraft,1,Reckful,12041,786355,101593751
2018-10-11 01:19,World of Warcraft,2,Quin69,1852,346742,38572482
