Timestamp,Game Title,Rank,Display Name,Viewers,Channel Followers,Total Channel Views
2018-10-06 19:19,Fortnite,1,TSM_Daequan,40223,2643049,30164305
2018-10-06 19:19,Fortnite,2,pokimane,11187,2261119,45171437
2018-10-06 19:19,Fortnite,3,Aydan,9219,204979,910070
2018-10-06 19:19,Fortnite,4,Cizzorz,7707,1008761,9798195
2018-10-06 19:19,Fortnite,5,Ghost_Ryann,7131,9671,77559
2018-10-06 19:19,Fortnite,6,SypherPK,5691,1543294,23752349
2018-10-06 19:19,Fortnite,7,ImMarksman,5353,419022,3621830
2018-10-06 19:19,Fortnite,8,zEkO,4128,227469,3766416
2018-10-06 19:19,Fortnite,9,SolaryFortnite,4037,479166,23143318
2018-10-06 19:19,Fortnite,10,Vivid,3711,159013,1656115
2018-10-06 19:19,League of Legends,1,imaqtpie,13379,2415853,293101339
2018-10-06 19:19,League of Legends,2,NoWay4u_Sir,8241,179937,19540091
2018-10-06 19:19,League of Legends,3,Elwind,6978,254411,4829448
2018-10-06 19:19,League of Legends,4,sacy,6826,83513,2091049
2018-10-06 19:19,League of Legends,5,Froggen,5329,713284,69653776
2018-10-06 19:19,League of Legends,6,Xayoo_,4417,262834,17341327
2018-10-06 19:19,League of Legends,7,Voyboy,3642,1017584,114731466
2018-10-06 19:19,League of Legends,8,VaporaDark,3506,67875,75744803
2018-10-06 19:19,League of Legends,9,Solary,3061,231537,42631858
2018-10-06 19:19,League of Legends,10,Levo,2358,475268,26881692
2018-10-06 19:19,Assassin's Creed Odyssey,1,shroud,32329,4475837,214548720
2018-10-06 19:19,Assassin's Creed Odyssey,2,FhaeLin,11056,49527,2299797
2018-10-06 19:19,Assassin's Creed Odyssey,3,AdmiralBahroo,7730,553716,33842257
2018-10-06 19:19,Assassin's Creed Odyssey,4,풍월량,7075,312292,38808600
2018-10-06 19:19,Assassin's Creed Odyssey,5,서새봄냥,4648,304799,25452306
2018-10-06 19:19,Assassin's Creed Odyssey,6,Kamet0,3127,128702,9437024
2018-10-06 19:19,Assassin's Creed Odyssey,7,Mickalow,1819,361863,4485428
2018-10-06 19:19,Assassin's Creed Odyssey,8,AnneMunition,1721,410517,13340754
2018-10-06 19:19,Assassin's Creed Odyssey,9,홍방장,1686,151611,10451829
2018-10-06 19:19,Assassin's Creed Odyssey,10,JoshOG,1559,1474048,57566634
2018-10-06 19:19,Rocket League,1,RocketLeague,59642,787830,59181508
2018-10-06 19:19,Rocket League,2,wolvesatmydoor,152,43681,864707
2018-10-06 19:19,Rocket League,3,mkprod,54,11608,56708
2018-10-06 19:19,Rocket League,4,MURV,51,6794,17540
2018-10-06 19:19,Rocket League,5,AlexIzman,49,853,17352
2018-10-06 19:19,Rocket League,6,SA_Jadestar,46,6446,572120
2018-10-06 19:19,Rocket League,7,JoinKK,43,1732,25139
2018-10-06 19:19,Rocket League,8,SotusTV,38,6639,131249
2018-10-06 19:19,Rocket League,9,Dazerin,34,1495,16067
2018-10-06 19:19,Rocket League,10,FighterVette,33,486,9536
2018-10-06 19:19,World of Warcraft,1,Reckful,22810,780141,100926886
2018-10-06 19:19,World of Warcraft,2,Pikabooirl,3405,91873,4312296
2018-10-06 19:19,World of Warcraft,3,Drjayfisto,3185,54629,5502518
2018-10-06 19:19,World of Warcraft,4,Hydramist,2019,86342,13226377
2018-10-06 19:19,World of Warcraft,5,jdotb,1757,55685,6457785
2018-10-06 19:19,World of Warcraft,6,xChocoBars,1497,392443,15788258
2018-10-06 19:19,World of Warcraft,7,Sjeletyven1,1191,19024,1168593
2018-10-06 19:19,World of Warcraft,8,AnnieFuchsia,1006,156353,12540166
2018-10-06 19:19,World of Warcraft,9,Drainerx,519,39216,3307822
2018-10-06 19:19,World of Warcraft,10,Savix_Tv,437,49577,889375
2018-10-06 19:19,Just Chatting,1,mckyTV,2080,224273,4116009
2018-10-06 19:19,Just Chatting,2,allkeyshop_tv,1707,10731,13130188
