Timestamp,Game Title,Rank,Display Name,Viewers,Channel Followers,Total Channel Views
2018-10-10 09:19,League of Legends,1,Riot Games,186216,3161317,1046440507
2018-10-10 09:19,League of Legends,2,LCK_Korea,36352,178813,42352692
2018-10-10 09:19,League of Legends,3,OgamingLoL,25306,344288,107759858
2018-10-10 09:19,League of Legends,4,LVPes,22789,311088,73351066
2018-10-10 09:19,League of Legends,5,SummonersInnLive,12319,414093,99920578
2018-10-10 09:19,League of Legends,6,한동숙,10033,153199,13055007
2018-10-10 09:19,League of Legends,7,Nervarien,10022,402600,62620158
2018-10-10 09:19,League of Legends,8,RiotGamesBrazil,9750,567502,113472502
2018-10-10 09:19,League of Legends,9,PG_Esports,6983,52708,7512022
2018-10-10 09:19,League of Legends,10,RiotGamesRU,6492,91941,25587849
2018-10-10 09:19,Fortnite,1,dakotaz,27552,2746760,63048243
2018-10-10 09:19,Fortnite,2,cloakzy,10541,642094,6190876
2018-10-10 09:19,Fortnite,3,CDNThe3rd,9522,1660796,31301060
2018-10-10 09:19,Fortnite,4,DrLupo,8401,2507887,39481520
2018-10-10 09:19,Fortnite,5,SolaryFortnite,5720,483836,23419029
2018-10-10 09:19,Fortnite,6,Loeya,4983,349064,6203734
2018-10-10 09:19,Fortnite,7,TSM_Hamlinz,4200,1314073,13937615
2018-10-10 09:19,Fortnite,8,RakanooLive,3754,360648,2930747
2018-10-10 09:19,Fortnite,9,Mickalow,3293,364629,4559028
2018-10-10 09:19,Fortnite,10,HighDistortion,3154,1096896,15655920
2018-10-10 09:19,Just Chatting,1,GLADIATORPWNZ,5156,300164,22245249
2018-10-10 09:19,Just Chatting,2,Ko0416,3523,75173,12904808
2018-10-10 09:19,Just Chatting,3,고차비,2636,57892,1775050
2018-10-10 09:19,Just Chatting,4,꽃빈,2100,122606,4256342
2018-10-10 09:19,Just Chatting,5,짬타수아,1836,95866,5121131
2018-10-10 09:19,Just Chatting,6,NymN,1512,52114,1761571
2018-10-10 09:19,Just Chatting,7,윰찌니,1474,121946,7515032
2018-10-10 09:19,Just Chatting,8,빛베리,1450,189876,4853571
2018-10-10 09:19,Just Chatting,9,allkeyshop_tv,1331,11087,13556475
2018-10-10 09:19,Just Chatting,10,TaeRss,1066,74893,8865871
2018-10-10 09:19,Counter-Strike: Global Offensive,1,Starladder_CS_en,21033,453134,61517004
