Timestamp,Game Title,Rank,Display Name,Viewers,Channel Followers,Total Channel Views
2018-10-11 18:30,League of Legends,1,Riot Games,33373,3172134,1048827101
2018-10-11 18:30,League of Legends,2,imaqtpie,13465,2422533,294074703
2018-10-11 18:30,League of Legends,3,jukes,11396,684187,36943336
2018-10-11 18:30,League of Legends,4,NoWay4u_Sir,8188,182605,19805715
2018-10-11 18:30,League of Legends,5,Xayoo_,4767,264057,17407042
2018-10-11 18:30,League of Legends,6,Shiphtur,4164,524235,30664518
2018-10-11 18:30,League of Legends,7,ElmiilloR,4144,148495,14191741
2018-10-11 18:30,League of Legends,8,RiotGamesBrazil,3763,569655,113713977
2018-10-11 18:30,League of Legends,9,Froggen,3759,720509,69855376
2018-10-11 18:30,League of Legends,10,VaporaDark,3319,68102,76390952
2018-10-11 18:30,Call of Duty: Black Ops 4,1,MontanaBlack88,21139,1195212,24431688
2018-10-11 18:30,Call of Duty: Black Ops 4,2,CouRageJD,18254,885381,12733883
2018-10-11 18:30,Call of Duty: Black Ops 4,3,Nadeshot,17383,952100,42818084
2018-10-11 18:30,Call of Duty: Black Ops 4,4,Syndicate,16026,2615800,48723668
2018-10-11 18:30,Call of Duty: Black Ops 4,5,TheRace,10542,341543,19554365
2018-10-11 18:30,Call of Duty: Black Ops 4,6,Karma,8842,305580,7053433
2018-10-11 18:30,Call of Duty: Black Ops 4,7,Dashy,7129,40730,395542
2018-10-11 18:30,Call of Duty: Black Ops 4,8,robi,4272,197956,2527327
2018-10-11 18:30,Call of Duty: Black Ops 4,9,Trymacs,4083,629804,18934388
2018-10-11 18:30,Call of Duty: Black Ops 4,10,MarcelScorpion,2336,232305,1336715
2018-10-11 18:30,Fortnite,1,cloakzy,28434,655541,6441831
2018-10-11 18:30,Fortnite,2,POACH,9957,249999,3075121
2018-10-11 18:30,Fortnite,3,ixxYjYxxi,4410,177696,926943
2018-10-11 18:30,Fortnite,4,Symfuhny,3734,188214,3321047
2018-10-11 18:30,Fortnite,5,POW3Rtv,3601,243604,5965219
2018-10-11 18:30,Fortnite,6,PainLivestream,2919,254275,2456605
2018-10-11 18:30,Fortnite,7,SolaryFortnite,2792,487156,23556483
2018-10-11 18:30,Fortnite,8,NateHill,2564,195290,1428796
2018-10-11 18:30,Fortnite,9,fernanfloo,1937,736039,6705512
2018-10-11 18:30,Fortnite,10,MrBboy45,1699,192076,5565277
2018-10-11 18:30,Just Chatting,1,pokimane,28030,2292943,45764380
2018-10-11 18:30,Just Chatting,2,RajjPatel,9209,235708,10143311
2018-10-11 18:30,Just Chatting,3,LaChilenaBelu,3097,197621,2038199
2018-10-11 18:30,Just Chatting,4,Chap,2938,240323,3599997
2018-10-11 18:30,Just Chatting,5,LilyPichu,2818,554914,14809022
2018-10-11 18:30,Just Chatting,6,H2P_Gucio,2801,93087,9067457
2018-10-11 18:30,Just Chatting,7,Uthenera,1920,149571,2381806
2018-10-11 18:30,Just Chatting,8,educatedearTW,1532,34959,258228
2018-10-11 18:30,Just Chatting,9,gnumme,1421,259853,34692390
2018-10-11 18:30,Just Chatting,10,uebermarginal,1380,33522,1252837
2018-10-11 18:30,FIFA 19,1,Castro_1021,13495,1491475,49252093
2018-10-11 18:30,FIFA 19,2,KendineMuzisyen,7014,507488,13747667
2018-10-11 18:30,FIFA 19,3,Nick28T,4925,816628,29954424
2018-10-11 18:30,FIFA 19,4,LPMassive,4289,280114,8041125
2018-10-11 18:30,FIFA 19,5,얍얍,3405,195982,26781708
2018-10-11 18:30,FIFA 19,6,RunTheFUTMarket,2288,48841,1355014
2018-10-11 18:30,FIFA 19,7,VivaLaFazza,2032,57304,1301036
2018-10-11 18:30,FIFA 19,8,xTheSolutionTV,1701,184469,2376443
2018-10-11 18:30,FIFA 19,9,DieHahn,1388,165221,7659845
2018-10-11 18:30,FIFA 19,10,Seals311,1326,70527,2077662
2018-10-11 18:30,World of Warcraft,1,Reckful,15763,787795,101710872
2018-10-11 18:30,World of Warcraft,2,Hotted89,10152,282125,19254874
2018-10-11 18:30,World of Warcraft,3,cdewx,2737,257399,31349252
2018-10-11 18:30,World of Warcraft,4,Pikabooirl,2291,94547,4394996
2018-10-11 18:30,World of Warcraft,5,Drjayfisto,2086,56221,5681089
2018-10-11 18:30,World of Warcraft,6,Hydramist,1608,87903,13352342
2018-10-11 18:30,World of Warcraft,7,jdotb,1362,57799,6678774
2018-10-11 18:30,World of Warcraft,8,Sloot,1103,176612,24321440
2018-10-11 18:30,World of Warcraft,9,Naowh,923,35269,1841900
2018-10-11 18:30,World of Warcraft,10,W_Lapin,787,101863,13843200
2018-10-11 18:30,Dota 2,1,Stray228,12493,373018,34427780
2018-10-11 18:30,Dota 2,2,BeyondTheSummit,7628,712428,368740613
2018-10-11 18:30,Dota 2,3,Gorgc,6806,132863,8463784
2018-10-11 18:30,Dota 2,4,dota2mc_ru,3926,128918,12928363
2018-10-11 18:30,Dota 2,5,lil,2145,105182,5137021
2018-10-11 18:30,Dota 2,6,MrChoco,1799,124974,11297294
2018-10-11 18:30,Dota 2,7,qSnake,1465,121052,14022762
2018-10-11 18:30,Dota 2,8,dota2mc,1330,3406,192778
2018-10-11 18:30,Dota 2,9,MeepoHa3ap,1016,77308,1808582
2018-10-11 18:30,Dota 2,10,canceldota,913,106546,9319349
2018-10-11 18:30,Counter-Strike: Global Offensive,1,summit1g,12874,3299342,243284958
2018-10-11 18:30,Counter-Strike: Global Offensive,2,s1mple,6918,614795,19760707
2018-10-11 18:30,Counter-Strike: Global Offensive,3,BrasilGameCup,2991,27775,5530151
2018-10-11 18:30,Counter-Strike: Global Offensive,4,PAGO3,1952,217671,19522166
2018-10-11 18:30,Counter-Strike: Global Offensive,5,99Damage,1627,146798,25322718
2018-10-11 18:30,Counter-Strike: Global Offensive,6,OfficialGeTRiGhT,1429,411982,7811565
2018-10-11 18:30,Counter-Strike: Global Offensive,7,nefer_TV,1209,13246,51938
2018-10-11 18:30,Counter-Strike: Global Offensive,8,thomezord,1002,39698,1645902
2018-10-11 18:30,Counter-Strike: Global Offensive,9,byalli,948,160433,3913641
2018-10-11 18:30,Counter-Strike: Global Offensive,10,n0thing,873,454918,9959624
2018-10-11 18:30,PLAYERUNKNOWN'S BATTLEGROUNDS,1,mistermv,8207,196932,17148918
2018-10-11 18:30,PLAYERUNKNOWN'S BATTLEGROUNDS,2,ZeratoR,4775,499915,44338150
2018-10-11 18:30,PLAYERUNKNOWN'S BATTLEGROUNDS,3,SkipNhO,2824,611234,32594417
2018-10-11 18:30,PLAYERUNKNOWN'S BATTLEGROUNDS,4,Halifax,2195,108358,3335791
2018-10-11 18:30,PLAYERUNKNOWN'S BATTLEGROUNDS,5,makataO,1241,139123,7073561
2018-10-11 18:30,PLAYERUNKNOWN'S BATTLEGROUNDS,6,Bonjwa,1066,74856,27132532
2018-10-11 18:30,PLAYERUNKNOWN'S BATTLEGROUNDS,7,ubah,807,45369,1739125
2018-10-11 18:30,PLAYERUNKNOWN'S BATTLEGROUNDS,8,Aculite,733,95704,1323521
2018-10-11 18:30,PLAYERUNKNOWN'S BATTLEGROUNDS,9,CeMka7721,676,45755,5413743
2018-10-11 18:30,PLAYERUNKNOWN'S BATTLEGROUNDS,10,Dilera,664,28062,350135
2018-10-11 18:30,Hearthstone,1,DisguisedToastHS,9715,816397,46016526
2018-10-11 18:30,Hearthstone,2,PlayHearthstone,6284,688742,108261710
2018-10-11 18:30,Hearthstone,3,ZalaeHS,2360,128514,6638339
2018-10-11 18:30,Hearthstone,4,TrumpSC,1939,826399,103866179
2018-10-11 18:30,Hearthstone,5,armatvhs,1591,163341,37728879
2018-10-11 18:30,Hearthstone,6,TomatosMuchachos,739,99604,2221317
2018-10-11 18:30,Hearthstone,7,MkRR3,694,111148,20457210
2018-10-11 18:30,Hearthstone,8,AKAWonder,654,46521,4559094
2018-10-11 18:30,Hearthstone,9,Tholwmenos,526,8176,447796
2018-10-11 18:30,Hearthstone,10,Sradd,477,4180,99441
2018-10-11 18:30,Overwatch,1,xQcOW,10883,752526,33579931
2018-10-11 18:30,Overwatch,2,esl_AlphaCast,1747,177397,7933518
2018-10-11 18:30,Overwatch,3,KabajiOW,1610,149270,3576283
