,Date,Rank,Game,Viewers,Channels,GiantBomb ID
0,2018-10-04 19:08,0,Fortnite,159513,14343,37030
1,2018-10-04 19:08,1,League of Legends,131756,2427,24024
2,2018-10-04 19:08,2,World of Warcraft,59701,1246,19783
3,2018-10-04 19:08,3,FIFA 19,43526,664,68608
4,2018-10-04 19:08,4,Counter-Strike: Global Offensive,43163,1097,36113
5,2018-10-04 19:08,5,Dota 2,43089,521,32887
6,2018-10-04 19:08,6,Just Chatting,39803,520,0
7,2018-10-04 19:08,7,Warframe,32100,167,38788
8,2018-10-04 19:08,8,Assassin's Creed Odyssey,30371,414,68771
9,2018-10-04 19:08,9,PLAYERUNKNOWN'S BATTLEGROUNDS,26340,1336,54979
10,2018-10-04 19:08,10,Overwatch,25181,1293,48190
11,2018-10-04 19:08,11,Grand Theft Auto V,23810,541,36765
12,2018-10-04 19:08,12,Hearthstone,19188,177,42033
13,2018-10-04 19:08,13,Casino,19156,44,0
14,2018-10-04 19:08,14,Magic: The Gathering,15149,251,68425
15,2018-10-04 19:08,15,Destiny 2,14312,1261,52647
16,2018-10-04 19:08,16,Always On,13537,18,0
17,2018-10-04 19:08,17,Dead by Daylight,13316,721,52693
18,2018-10-04 19:08,18,Escape From Tarkov,12534,211,53106
19,2018-10-04 19:08,19,Battlerite Royale,11448,136,69841
20,2018-10-04 19:08,20,Tales of Berseria,10940,10,49874
21,2018-10-04 19:08,21,Tom Clancy's Rainbow Six: Siege,9906,1031,46562
22,2018-10-04 19:08,22,Mega Man 11,9787,91,63036
23,2018-10-04 19:08,23,Special Events,8805,13,0
24,2018-10-04 19:08,24,Path of Exile,7741,219,32562
