Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-03 22:49,1,Fortnite,37030,235443,12527
2018-10-03 22:49,2,League of Legends,24024,68123,2416
2018-10-03 22:49,3,Assassin's Creed Odyssey,68771,65522,339
2018-10-03 22:49,4,World of Warcraft,19783,40999,2646
2018-10-03 22:49,5,Overwatch,48190,32036,1631
2018-10-03 22:49,6,Just Chatting,0,30927,483
2018-10-03 22:49,7,Counter-Strike: Global Offensive,36113,26565,913
2018-10-03 22:49,8,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,24749,1357
2018-10-03 22:49,9,Destiny 2,52647,19454,1624
2018-10-03 22:49,10,Hearthstone,42033,18492,198
2018-10-03 22:49,11,Dead by Daylight,52693,17975,854
2018-10-03 22:49,12,Dota 2,32887,17766,395
2018-10-03 22:49,13,Always On,0,17638,18
2018-10-03 22:49,14,Magic: The Gathering,68425,15894,272
2018-10-03 22:49,15,Grand Theft Auto V,36765,14652,411
2018-10-03 22:49,16,NBA 2K19,68872,14021,598
2018-10-03 22:49,17,Music & Performing Arts,29887,13783,263
2018-10-03 22:49,18,Casino,0,12769,33
2018-10-03 22:49,19,FIFA 19,68608,10233,369
2018-10-03 22:49,20,Tom Clancy's Rainbow Six: Siege,46562,9361,1356
2018-10-03 22:49,21,StarCraft II,0,7902,88
2018-10-03 22:49,22,Old School RuneScape,45837,7844,161
2018-10-03 22:49,23,Visage,56806,7247,71
2018-10-03 22:49,24,MapleStory 2,48529,6578,239
2018-10-03 22:49,25,Mega Man 11,63036,5777,174
