,Date,Rank,Game,Viewers,Channels,GiantBomb ID
0,2018-10-04 19:04,0,Fortnite,160565,14267,37030
1,2018-10-04 19:04,1,League of Legends,134800,2444,24024
2,2018-10-04 19:04,2,World of Warcraft,59812,1253,19783
3,2018-10-04 19:04,3,FIFA 19,43939,676,68608
4,2018-10-04 19:04,4,Dota 2,43653,532,32887
5,2018-10-04 19:04,5,Counter-Strike: Global Offensive,43000,1104,36113
6,2018-10-04 19:04,6,Just Chatting,38825,533,0
7,2018-10-04 19:04,7,Assassin's Creed Odyssey,30766,418,68771
8,2018-10-04 19:04,8,Warframe,30229,173,38788
9,2018-10-04 19:04,9,Overwatch,26104,1290,48190
10,2018-10-04 19:04,10,PLAYERUNKNOWN'S BATTLEGROUNDS,26070,1348,54979
11,2018-10-04 19:04,11,Grand Theft Auto V,24239,536,36765
12,2018-10-04 19:04,12,Hearthstone,20597,179,42033
13,2018-10-04 19:04,13,Casino,19099,44,0
14,2018-10-04 19:04,14,Magic: The Gathering,15452,251,68425
15,2018-10-04 19:04,15,Destiny 2,14329,1266,52647
16,2018-10-04 19:04,16,Always On,13700,18,0
17,2018-10-04 19:04,17,Dead by Daylight,13391,723,52693
18,2018-10-04 19:04,18,Escape From Tarkov,12491,215,53106
19,2018-10-04 19:04,19,Tales of Berseria,11282,10,49874
20,2018-10-04 19:04,20,Tom Clancy's Rainbow Six: Siege,9887,1029,46562
21,2018-10-04 19:04,21,Mega Man 11,9861,88,63036
22,2018-10-04 19:04,22,Special Events,9198,14,0
23,2018-10-04 19:04,23,Battlerite Royale,8899,139,69841
24,2018-10-04 19:04,24,Path of Exile,7774,222,32562
