Date,Rank,Game,Viewers,Channels,GiantBomb ID
2018-10-04 20:04,0,Fortnite,200578,15421,37030
2018-10-04 20:04,1,League of Legends,129767,2425,24024
2018-10-04 20:04,2,World of Warcraft,51909,1536,19783
2018-10-04 20:04,3,Assassin's Creed Odyssey,46563,388,68771
2018-10-04 20:04,4,Warframe,42635,171,38788
2018-10-04 20:04,5,Just Chatting,32193,514,0
2018-10-04 20:04,6,Counter-Strike: Global Offensive,31242,996,36113
2018-10-04 20:04,7,Sports & Fitness,29715,13,0
2018-10-04 20:04,8,Dota 2,28047,412,32887
2018-10-04 20:04,9,FIFA 19,25458,559,68608
2018-10-04 20:04,10,Overwatch,24825,1429,48190
2018-10-04 20:04,11,PLAYERUNKNOWN'S BATTLEGROUNDS,20876,1297,54979
2018-10-04 20:04,12,Grand Theft Auto V,19698,470,36765
2018-10-04 20:04,13,Casino,19330,40,0
2018-10-04 20:04,14,Dead by Daylight,13820,732,52693
2018-10-04 20:04,15,MapleStory 2,13703,158,48529
2018-10-04 20:04,16,Destiny 2,13675,1339,52647
2018-10-04 20:04,17,Always On,12263,19,0
2018-10-04 20:04,18,Magic: The Gathering,11782,239,68425
2018-10-04 20:04,19,Hearthstone,11776,182,42033
2018-10-04 20:04,20,Tom Clancy's Rainbow Six: Siege,10919,1209,46562
2018-10-04 20:04,21,Tales of Berseria,8443,8,49874
2018-10-04 20:04,22,Music & Performing Arts,7219,269,29887
2018-10-04 20:04,23,Path of Exile,7106,212,32562
2018-10-04 20:04,24,Battlerite Royale,6911,132,69841
