,Date,Rank,Game,Viewers,Channels,GiantBomb ID
0,2018-10-04 19:06,0,Fortnite,155509,14333,37030
1,2018-10-04 19:06,1,League of Legends,132169,2436,24024
2,2018-10-04 19:06,2,World of Warcraft,59571,1251,19783
3,2018-10-04 19:06,3,FIFA 19,43847,670,68608
4,2018-10-04 19:06,4,Dota 2,43273,526,32887
5,2018-10-04 19:06,5,Just Chatting,39616,525,0
6,2018-10-04 19:06,6,Counter-Strike: Global Offensive,36672,1111,36113
7,2018-10-04 19:06,7,Warframe,30742,172,38788
8,2018-10-04 19:06,8,Assassin's Creed Odyssey,30569,416,68771
9,2018-10-04 19:06,9,PLAYERUNKNOWN'S BATTLEGROUNDS,25838,1345,54979
10,2018-10-04 19:06,10,Overwatch,25499,1293,48190
11,2018-10-04 19:06,11,Grand Theft Auto V,24313,538,36765
12,2018-10-04 19:06,12,Hearthstone,20523,178,42033
13,2018-10-04 19:06,13,Casino,19063,44,0
14,2018-10-04 19:06,14,Magic: The Gathering,15252,250,68425
15,2018-10-04 19:06,15,Destiny 2,14283,1266,52647
16,2018-10-04 19:06,16,Always On,13481,18,0
17,2018-10-04 19:06,17,Dead by Daylight,13318,729,52693
18,2018-10-04 19:06,18,Escape From Tarkov,12376,213,53106
19,2018-10-04 19:06,19,Tales of Berseria,11130,10,49874
20,2018-10-04 19:06,20,Tom Clancy's Rainbow Six: Siege,9905,1045,46562
21,2018-10-04 19:06,21,Mega Man 11,9680,90,63036
22,2018-10-04 19:06,22,Special Events,8958,13,0
23,2018-10-04 19:06,23,Battlerite Royale,8791,138,69841
24,2018-10-04 19:06,24,Path of Exile,7808,220,32562
