,Timestamp,Game Title,Rank,Display Name,Viewers,Channel Followers,Total Channel Views
74,2018-10-03 22:19,Destiny 2,5,ProblyOvr9000,493,26063,647853
75,2018-10-03 22:19,Destiny 2,6,Ms5000Watts,460,172811,1809810
76,2018-10-03 22:19,Destiny 2,7,TeftyTeft,382,128782,3062539
77,2018-10-03 22:19,Destiny 2,8,LuCKyy_and_BW,278,211864,4651469
78,2018-10-03 22:19,Destiny 2,9,LacedUpLauren,256,374844,6965147
79,2018-10-03 22:19,Destiny 2,10,Ninja_with_no_L,191,49849,763788
80,2018-10-03 22:19,Overwatch,1,Jayne,2674,106092,1750146
81,2018-10-03 22:19,Overwatch,2,ElkGG,1614,5312,78597
82,2018-10-03 22:19,Overwatch,3,Kephrii,1456,414652,10986373
83,2018-10-03 22:19,Overwatch,4,agilities,1267,75041,1014485
84,2018-10-03 22:19,Overwatch,5,Fitzyhere,1068,82865,2131113
85,2018-10-03 22:19,Overwatch,6,LiNkzr,814,56723,1105770
86,2018-10-03 22:19,Overwatch,7,twomad,798,86583,497916
87,2018-10-03 22:19,Overwatch,8,Brandito,612,45069,601130
88,2018-10-03 22:19,Overwatch,9,custa,428,68990,988415
89,2018-10-03 22:19,Overwatch,10,Fahzix,343,34778,520078
90,2018-10-03 22:19,FIFA 19,1,PainLivestream,3831,245616,2340116
91,2018-10-03 22:19,FIFA 19,2,zEkO,3581,224658,3688039
92,2018-10-03 22:19,FIFA 19,3,SennadoBone,1597,52931,1377427
93,2018-10-03 22:19,FIFA 19,4,DrJarba,1118,53191,2138862
94,2018-10-03 22:19,FIFA 19,5,ZanoXVII,867,33458,156203
95,2018-10-03 22:19,FIFA 19,6,fcsm_kefir,841,224001,8611651
96,2018-10-03 22:19,FIFA 19,7,개복어,802,108569,6905545
97,2018-10-03 22:19,FIFA 19,8,R9Rai,556,19468,602320
98,2018-10-03 22:19,FIFA 19,9,werevertumorro,482,134009,951050
99,2018-10-03 22:19,FIFA 19,10,Ali_Mathlouthi,426,34379,806459
100,2018-10-03 22:19,Hearthstone,1,ZalaeHS,3359,123745,6505672
101,2018-10-03 22:19,Hearthstone,2,AsmodaiTV,2661,172158,15338159
102,2018-10-03 22:19,Hearthstone,3,에렌디라,1773,225810,4842225
103,2018-10-03 22:19,Hearthstone,4,공혁준,1498,172300,12633150
104,2018-10-03 22:19,Hearthstone,5,xChocoBars,1445,391253,15700955
105,2018-10-03 22:19,Hearthstone,6,hearthstoneNESS,979,72135,7821613
106,2018-10-03 22:19,Hearthstone,7,齊力斷金,852,42890,2599154
107,2018-10-03 22:19,Hearthstone,8,purple_hs,699,47991,1589588
108,2018-10-03 22:19,Hearthstone,9,케로,539,8561,226566
109,2018-10-03 22:19,Hearthstone,10,dreads,482,13432,688615
110,2018-10-03 22:19,Viscera Cleanup Detail,1,sodapoppin,17372,2162123,239728704
111,2018-10-03 22:19,Viscera Cleanup Detail,2,Carrrie,18,1955,34163
112,2018-10-03 22:19,Viscera Cleanup Detail,3,NerdlyK,3,48,1546
113,2018-10-03 22:19,Always On,1,TwitchPresents,13058,643316,105878723
114,2018-10-03 22:19,Always On,2,TwitchPresentsES,942,18033,4935082
115,2018-10-03 22:19,Always On,3,RiffTrax,493,39702,3010021
116,2018-10-03 22:19,Always On,4,TwitchPresentsFR,364,22787,2202106
117,2018-10-03 22:19,Always On,5,Food,304,150260,13831172
118,2018-10-03 22:19,Always On,6,TwitchPresentsDE,195,9681,220001
119,2018-10-03 22:19,Always On,7,TwitchPresentsPT,160,16414,714696
120,2018-10-03 22:19,Always On,8,FailArmy,159,74120,4989526
121,2018-10-03 22:19,Always On,9,COSMOS,98,30286,2070039
122,2018-10-03 22:19,Always On,10,CONtv,95,41648,7253257
123,2018-10-03 22:19,Dota 2,1,BeyondTheSummit,2067,708925,367681277
124,2018-10-03 22:19,Dota 2,2,BananaSlamJamma,1839,117292,8465436
125,2018-10-03 22:19,Dota 2,3,Starladder1,1763,473918,384071562
126,2018-10-03 22:19,Dota 2,4,EternaLEnVyy,1732,207048,21612387
127,2018-10-03 22:19,Dota 2,5,Draskyl,1093,119344,26861788
128,2018-10-03 22:19,Dota 2,6,vanNDota,990,82404,3920030
129,2018-10-03 22:19,Dota 2,7,SexyBamboe,768,31529,1208403
130,2018-10-03 22:19,Dota 2,8,saddota2tv,698,6552,531091
131,2018-10-03 22:19,Dota 2,9,EEGDOTA,445,49411,2151843
132,2018-10-03 22:19,Dota 2,10,Suggest,378,18355,856766
133,2018-10-03 22:19,Magic: The Gathering,1,DisguisedToastHS,5621,808333,45573175
134,2018-10-03 22:19,Magic: The Gathering,2,reynad27,2531,521849,44580871
135,2018-10-03 22:19,Magic: The Gathering,3,CalebDMTG,2321,51425,4450358
136,2018-10-03 22:19,Magic: The Gathering,4,tiffanycalandro,709,1706,37053
137,2018-10-03 22:19,Magic: The Gathering,5,strong_sad,501,3483,163049
138,2018-10-03 22:19,Magic: The Gathering,6,AdamKoebel,386,42813,1713041
139,2018-10-03 22:19,Magic: The Gathering,7,ShadyPenguinn,207,133174,1548174
140,2018-10-03 22:19,Magic: The Gathering,8,AnnaMae,186,5659,183009
141,2018-10-03 22:19,Magic: The Gathering,9,Wyld,168,208505,9073563
142,2018-10-03 22:19,Magic: The Gathering,10,MisterMetronome,150,3310,79984
143,2018-10-03 22:19,Grand Theft Auto V,1,FingerTV,2048,73264,1473243
144,2018-10-03 22:19,Grand Theft Auto V,2,TehJamJar,1524,142795,3671027
145,2018-10-03 22:19,Grand Theft Auto V,3,RebecaTrans,1204,8659,113293
146,2018-10-03 22:19,Grand Theft Auto V,4,PENTA,1146,70929,1368723
147,2018-10-03 22:19,Grand Theft Auto V,5,squall46311,573,7855,134734
148,2018-10-03 22:19,Grand Theft Auto V,6,SilentSentry,539,218804,5553101
149,2018-10-03 22:19,Grand Theft Auto V,7,Poncherello,464,2128,13200
